"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change"
"BMPER",-2.16019986419948,0.46119553340259,-40.804554723582,2.0473995710596e-147,3.46440481418995e-143,325.239637418014,"DOWN"
"CLEC4M",-4.03626849463939,0.728883495516937,-38.8813920813927,1.65188370397273e-140,1.39757620774613e-136,309.559453472679,"DOWN"
"STAB2",-2.69950288992381,0.602297620512392,-37.6219731675225,7.04330410347006e-136,3.97265829116056e-132,299.038859288923,"DOWN"
"CLEC1B",-2.92847089652278,0.543047909533869,-36.9107214369107,3.16388747895418e-133,1.33840350078459e-129,293.00821129497,"DOWN"
"BMP10",-2.36679170781123,0.439925622804726,-36.4927867617639,1.17923582860869e-131,3.99076989117752e-128,289.434393463824,"DOWN"
"GDF2",-4.39763705860373,0.972235313769144,-31.0136428390362,3.54415789668262e-110,9.99511596162777e-107,240.51346298768,"DOWN"
"NTF3",-2.18595707285763,0.75821014190878,-28.7228624045818,1.00048993659247e-100,2.41847003101159e-97,218.950202037447,"DOWN"
"CCBE1",-2.00643831957357,0.558042648870381,-27.7099820544626,1.82489222743957e-96,3.85987517256313e-93,209.221882278016,"DOWN"
"VIPR1",-2.69856899518635,1.11354773900218,-25.813127431627,2.31658374430023e-88,4.35543483747824e-85,190.711440913947,"DOWN"
"NDST3",-0.643683678210532,0.124058598631944,-25.7011584940713,7.044711104702e-88,1.19203556602662e-84,189.607782761966,"DOWN"
"HHIP",-2.03854613195014,0.519563332028463,-25.193588943448,1.10518619624502e-85,1.700077784242e-82,184.590595747969,"DOWN"
"PVALB",-1.96398377526787,0.539401294304588,-25.038381154792,5.20852487089659e-85,7.34445411170344e-82,183.051916407144,"DOWN"
"PHACTR3",-0.326901722862824,0.0948750167264564,-25.004712993165,7.29253972184139e-85,9.49208189486755e-82,182.717871640571,"NOT"
"COLEC10",-4.09690680786976,1.62572716303768,-24.4412430800845,2.064956050432e-82,2.47496077396438e-79,177.113529377256,"DOWN"
"ADAMTS13",-2.52479925041917,2.11862705211399,-24.43520747147,2.19398449320168e-82,2.47496077396438e-79,177.053361921828,"DOWN"
"FCN2",-5.53118890528823,2.12592577333506,-24.2199057999187,1.90978217076146e-81,2.01971400696592e-78,174.905259158375,"DOWN"
"CRHBP",-4.82184565726099,1.92972953830262,-24.1978851490444,2.38332223283535e-81,2.37224679422394e-78,174.685358964396,"DOWN"
"MARCO",-5.26264655965402,1.94496363206265,-24.1249532144672,4.96477555327197e-81,4.66716484093973e-78,173.95679875273,"DOWN"
"CFP",-0.731112251527144,0.277129271985209,-23.8571570705314,7.37183996814281e-80,6.56520547899708e-77,171.278334418287,"DOWN"
"DACH1",-1.00630189462055,0.404741356964676,-23.7986996091857,1.32930767731117e-79,1.12466076038912e-76,170.692979747679,"DOWN"
"CHRM2",-0.541944976719925,0.110446597916515,-23.5573358576706,1.52004662718881e-78,1.22479566565057e-75,168.273675048289,"DOWN"
"GPM6A",-1.89991209074196,0.653740875146619,-23.4477237559984,4.60226496219087e-78,3.53976933751053e-75,167.173718035749,"DOWN"
"LRAT",-1.75333300882418,0.82192016802938,-23.1232504471765,1.22748274117915e-76,9.03053715804016e-74,163.913246504284,"DOWN"
"CCL23",-2.03663060614233,1.15584213592232,-22.9520053695212,6.96124085471274e-76,4.90796485427476e-73,162.189981336599,"DOWN"
"RD3L",-0.508238135495086,0.0771845184990695,-22.792220468445,3.51997467541986e-75,2.38245965931118e-72,160.580571832625,"DOWN"
"ANGPTL6",-2.80321817877539,1.9777397087461,-21.9511351223451,1.82042540791425e-71,1.18474685874296e-68,152.088290126918,"DOWN"
"GPR182",-2.01986011125505,0.739595006774563,-21.7940001086307,9.0229072854888e-71,5.65468941399096e-68,150.498441005194,"DOWN"
"PTH1R",-3.12188697466909,1.93289935104359,-21.772787669507,1.1200036796875e-70,6.76842223714007e-68,150.283752272529,"DOWN"
"COL6A6",-0.571663209865828,0.143728038395167,-21.6129618582151,5.71095285948221e-70,3.3322425288034e-67,148.665692466318,"DOWN"
"NXF3",-0.779910177539619,0.237785579291112,-21.0503705449669,1.77606828831015e-67,1.0017617168832e-64,142.964363085639,"DOWN"
"FCN3",-4.85974849025167,2.88382418602534,-20.882846941223,9.82374655165716e-67,5.36218114195454e-64,141.265337528589,"DOWN"
"ECM1",-3.14560489874649,2.84833168248165,-20.8594987688632,1.24686687866725e-66,6.59319826685265e-64,141.028503999148,"DOWN"
"LIFR",-2.59320252128859,1.77225147206517,-20.8468702207838,1.41848806998156e-66,7.27340504004789e-64,140.90040225465,"DOWN"
"CXCL14",-4.50680852389117,1.76928521991378,-20.6765112833563,8.08019980077231e-66,4.02132531849613e-63,139.172107006718,"DOWN"
"TMEM26",-0.738898067045961,0.398294315456097,-20.3901015085489,1.50654091457492e-64,7.28347966157776e-62,136.265855497618,"DOWN"
"KCNN2",-2.21972379054872,0.720462198331751,-19.9146213767153,1.93804331747125e-62,9.10934193748083e-60,131.440730973442,"DOWN"
"PLVAP",2.7426948317509,6.33329116407929,19.8822297991135,2.69800628861583e-62,1.23386390296401e-59,131.112063843732,"UP"
"LYVE1",-2.99884811550018,1.93645379883566,-19.7237646627328,1.36104761647503e-61,6.06060176799314e-59,129.504327974834,"DOWN"
"RSPO3",-1.71746137647311,0.51357696912366,-19.5932164420687,5.16142652841887e-61,2.23939739198399e-58,128.180081833393,"DOWN"
"ST8SIA6",-0.768860034280825,0.299831956592725,-19.4473590275346,2.28767649348134e-60,9.67744348654944e-58,126.700894216999,"DOWN"
"COL25A1",-0.673568947415843,0.229403312688406,-19.1924759737209,3.08212989810889e-59,1.27201756111953e-56,124.117183905179,"DOWN"
"LRRN3",-0.825862633971999,0.302224449363243,-18.9188671022048,5.01610646537231e-58,2.02089375001345e-55,121.34573681132,"DOWN"
"OIT3",-3.22993391339551,3.71262557254842,-18.798300315092,1.71339867494751e-57,6.74242301832252e-55,120.125325041067,"DOWN"
"BCO2",-2.81517104353357,1.55060044124019,-18.5011763255406,3.52732534110136e-56,1.35649709310855e-53,117.120372531492,"DOWN"
"DBH",-3.10313739734404,2.18285922663493,-18.1891029970522,8.41501862945026e-55,3.16423400508729e-52,113.968977695638,"DOWN"
"BMP5",-1.35293043390852,0.514845170146079,-18.0963865674018,2.15710371010107e-54,7.93485910404787e-52,113.033783623001,"DOWN"
"KIF19",-0.692189990309751,0.297622808783247,-18.0608818980963,3.09286241750894e-54,1.11349627588657e-51,112.675804103427,"DOWN"
"NUDT10",-0.918727205654459,0.260086717077223,-18.0491227690766,3.48483445817971e-54,1.22847674722623e-51,112.557259246228,"DOWN"
"TIMD4",-2.53656118725849,1.09645635566283,-17.8052030532019,4.13243989014004e-53,1.42704113022571e-50,110.100381239697,"DOWN"
"ADRA1A",-3.01785378967435,1.61420122170084,-17.7793911580018,5.36728555174079e-53,1.81639677642012e-50,109.840636885867,"DOWN"
"C14orf180",-1.08612785016267,0.265706765104414,-17.678166847902,1.49567859636417e-52,4.9624269664859e-50,108.822501013802,"DOWN"
"C21orf91",-1.32137053562565,1.80777580618346,-17.2997003687905,6.85137406981319e-51,2.22946347375594e-48,105.023148389643,"DOWN"
"PZP",-3.55221153083682,1.28030272938873,-17.2949388949258,7.18852284326435e-51,2.295037642092e-48,104.975428045946,"DOWN"
"AMHR2",-0.641108739152021,0.168737735126509,-17.2698592439961,9.25782747029094e-51,2.90095738194061e-48,104.724109652711,"DOWN"
"ADGRG7",-2.47834456812853,1.58498797912122,-17.2224120792185,1.49381753887874e-50,4.59579755915766e-48,104.248810321816,"DOWN"
"CETP",-2.63760681387721,2.31355170623709,-17.2145322886476,1.61732463223095e-50,4.88691966106784e-48,104.169895404046,"DOWN"
"SFRP1",-1.74929062833663,0.752672212768185,-17.1992272640024,1.88711808501782e-50,5.60209212571693e-48,104.016634682143,"DOWN"
"SIGLEC7",-1.39669329853318,1.08554555040619,-17.1655336540149,2.65013453826429e-50,7.73153905551207e-48,103.679313975356,"DOWN"
"C21orf62",-0.306985273089631,0.100925243965753,-17.0783327804138,6.37828707718683e-50,1.82927111242506e-47,102.806821804343,"NOT"
"CYP26A1",-2.20721803146289,0.745599927836094,-17.0505752207344,8.43438862472106e-50,2.37863816531509e-47,102.52925030165,"DOWN"
"DIRAS3",-2.4405578582958,1.26130408295954,-17.0312720749251,1.02428939964978e-49,2.84131162811047e-47,102.336267445532,"DOWN"
"FAM180A",-2.46548817750503,1.19143271320869,-17.0252465181344,1.08831719414608e-49,2.97022826486222e-47,102.276034788063,"DOWN"
