"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD7",0,3.56423627797241,0.813,0.245,0,"Low","CD7"
"KLRB1",0,3.67054006225321,0.714,0.174,0,"Low","KLRB1"
"CST7",0,3.3406965587948,0.835,0.299,0,"Low","CST7"
"GZMA",0,3.63365030450233,0.704,0.179,0,"Low","GZMA"
"KLRD1",0,3.56401005902818,0.717,0.195,0,"Low","KLRD1"
"CD247",0,3.38177777998185,0.699,0.191,0,"Low","CD247"
"CTSW",0,3.66180262725272,0.692,0.204,0,"Low","CTSW"
"CD69",0,3.14032388440664,0.877,0.417,0,"Low","CD69"
"GZMM",0,3.55930684432348,0.58,0.145,0,"Low","GZMM"
"TRBC1",0,3.49088919940433,0.567,0.15,0,"Low","TRBC1"
"PRF1",0,3.44233265894068,0.546,0.13,0,"Low","PRF1"
"TRBC2",0,3.7421857532492,0.527,0.113,0,"Low","TRBC2"
"RORA",0,3.33289363954305,0.574,0.169,0,"Low","RORA"
"CCL5",0,3.54443840687091,0.809,0.405,0,"Low","CCL5"
"NKG7",0,3.47948954428997,0.854,0.462,0,"Low","NKG7"
"ALOX5AP",0,2.20596799448831,0.576,0.188,0,"Low","ALOX5AP"
"ETS1",0,3.219278186127,0.53,0.148,0,"Low","ETS1"
"CD99",0,2.31582150301578,0.746,0.367,0,"Low","CD99"
"SYTL3",0,3.38972953638516,0.534,0.156,0,"Low","SYTL3"
"HOPX",0,3.36396556105526,0.502,0.127,0,"Low","HOPX"
"CD3E",0,3.69218240939519,0.484,0.112,0,"Low","CD3E"
"IL32",0,3.33927599542278,0.539,0.168,0,"Low","IL32"
"CD96",0,3.74397603618631,0.445,0.09,0,"Low","CD96"
"XCL2",0,3.75740023270071,0.516,0.163,0,"Low","XCL2"
"KLRF1",0,3.59922611029986,0.449,0.097,0,"Low","KLRF1"
"IFNG",0,3.56485159428974,0.53,0.18,0,"Low","IFNG"
"GZMH",0,3.46191538779224,0.472,0.127,0,"Low","GZMH"
"TRDC",0,3.66844924013645,0.438,0.098,0,"Low","TRDC"
"GZMB",0,2.30528165064975,0.58,0.243,0,"Low","GZMB"
"ZNF331",0,2.09186186958885,0.613,0.279,0,"Low","ZNF331"
"SPON2",0,3.12526398512894,0.541,0.214,0,"Low","SPON2"
"PIK3IP1",0,2.79254922780284,0.526,0.201,0,"Low","PIK3IP1"
"ARL4C",0,1.97707097431094,0.727,0.406,0,"Low","ARL4C"
"STK17A",0,2.63848922836807,0.628,0.308,0,"Low","STK17A"
"AC044849.1",0,2.65188458942895,0.587,0.276,0,"Low","AC044849.1"
"CEMIP2",0,2.8212548139472,0.52,0.212,0,"Low","CEMIP2"
"HCST",0,1.88620151006844,0.78,0.48,0,"Low","HCST"
"FYN",0,2.27282667775861,0.585,0.299,0,"Low","FYN"
"ID2",0,1.55034324206075,0.857,0.575,0,"Low","ID2"
"AES",0,2.0059441047716,0.663,0.393,0,"Low","AES"
"ZC3H12A",0,2.31294971274971,0.575,0.305,0,"Low","ZC3H12A"
"IL2RG",0,2.25014934015368,0.628,0.36,0,"Low","IL2RG"
"FAM177A1",0,2.62741742536873,0.63,0.362,0,"Low","FAM177A1"
"BHLHE40",0,1.95088452661467,0.619,0.352,0,"Low","BHLHE40"
"RUNX3",0,1.9676004699137,0.633,0.368,0,"Low","RUNX3"
"TNFAIP3",0,1.6960895921652,0.865,0.6,0,"Low","TNFAIP3"
"NR4A2",0,1.8132744396398,0.76,0.499,0,"Low","NR4A2"
"CREM",0,1.83849578647451,0.682,0.425,0,"Low","CREM"
"ZFP36L2",0,1.96915136219551,0.897,0.65,0,"Low","ZFP36L2"
"DDIT4",0,1.85307348438808,0.685,0.441,0,"Low","DDIT4"
"UBE2S",0,1.96632924683623,0.759,0.517,0,"Low","UBE2S"
"TUBA4A",0,2.3185063437368,0.671,0.43,0,"Low","TUBA4A"
"GNLY",0,3.43553828837596,0.622,0.384,0,"Low","GNLY"
"SERTAD1",0,2.06239263579601,0.759,0.524,0,"Low","SERTAD1"
"SRSF7",0,1.80697331057656,0.895,0.667,0,"Low","SRSF7"
"DUSP2",0,1.63745507745737,0.838,0.629,0,"Low","DUSP2"
"FUS",0,1.51822959267357,0.887,0.678,0,"Low","FUS"
"SRSF2",0,1.75421976450925,0.805,0.601,0,"Low","SRSF2"
"LITAF",0,1.61669547750242,0.711,0.518,0,"Low","LITAF"
"IER2",0,1.81323589171095,0.949,0.757,0,"Low","IER2"
"BTG1",0,2.07709561285767,0.986,0.797,0,"Low","BTG1"
"CALM1",0,1.68787902523126,0.958,0.777,0,"Low","CALM1"
"GADD45B",0,1.56970328730119,0.938,0.76,0,"Low","GADD45B"
"DNAJB6",0,1.55028810256603,0.73,0.554,0,"Low","DNAJB6"
"DDX24",0,1.40613550825174,0.743,0.57,0,"Low","DDX24"
"RBM39",0,1.29629401390319,0.902,0.733,0,"Low","RBM39"
"TUBB4B",0,1.58104997318606,0.87,0.703,0,"Low","TUBB4B"
"JUNB",0,1.19513368613004,0.95,0.785,0,"Low","JUNB"
"SEPT7",0,1.53276847531726,0.698,0.537,0,"Low","SEPT7"
"HSPA5",0,0.946842015948989,0.866,0.708,0,"Low","HSPA5"
"DDX5",0,0.927928470740427,0.956,0.8,0,"Low","DDX5"
"YPEL5",0,1.44653168107496,0.855,0.713,0,"Low","YPEL5"
"NCL",0,1.40421793540699,0.791,0.651,0,"Low","NCL"
"CYCS",0,1.48150245562576,0.828,0.691,0,"Low","CYCS"
"NFKBIA",0,1.08109387623243,0.966,0.84,0,"Low","NFKBIA"
"HSP90AB1",0,1.39732426673267,0.954,0.841,0,"Low","HSP90AB1"
"NPM1",0,1.00663518559726,0.835,0.724,0,"Low","NPM1"
"HSPA8",0,1.37315198804668,0.911,0.8,0,"Low","HSPA8"
"RPSA",0,0.917943659941268,0.954,0.846,0,"Low","RPSA"
"UBB",0,1.50290945384848,0.976,0.873,0,"Low","UBB"
"JUND",0,1.54915423639978,0.997,0.899,0,"Low","JUND"
"RPL23A",0,0.799409730979663,0.974,0.877,0,"Low","RPL23A"
"HLA-A",0,1.30061264243509,0.992,0.896,0,"Low","HLA-A"
"TSC22D3",0,1.38360755474607,0.93,0.835,0,"Low","TSC22D3"
"H3F3B",0,1.11903360789854,0.994,0.899,0,"Low","H3F3B"
"HMGB1",0,0.93735392774348,0.863,0.771,0,"Low","HMGB1"
"RPS29",0,0.952168660254296,0.973,0.881,0,"Low","RPS29"
"SARAF",0,1.24373587616224,0.84,0.756,0,"Low","SARAF"
"RPS3",0,1.01955092405205,0.989,0.912,0,"Low","RPS3"
"RPS7",0,0.765713795071064,0.985,0.911,0,"Low","RPS7"
"RPLP2",0,0.633015437626089,0.984,0.914,0,"Low","RPLP2"
"HLA-B",0,0.887988522734486,0.995,0.927,0,"Low","HLA-B"
"RPL3",0,0.722260496900984,0.973,0.907,0,"Low","RPL3"
"HLA-C",0,0.880647015848049,0.991,0.929,0,"Low","HLA-C"
"RPL35A",0,0.61292614115637,0.984,0.923,0,"Low","RPL35A"
"EIF1",0,0.692680429354556,0.996,0.94,0,"Low","EIF1"
"RPS27",0,0.904434640742461,0.993,0.938,0,"Low","RPS27"
"PTMA",0,0.826011362183114,0.995,0.941,0,"Low","PTMA"
"RPS15A",0,0.802026169369183,0.992,0.938,0,"Low","RPS15A"
"RPL30",0,0.601711552687452,0.993,0.954,0,"Low","RPL30"
"RPS27A",0,0.928381182789004,0.993,0.958,0,"Low","RPS27A"
"RPL13",0,0.662446006986086,0.995,0.969,0,"Low","RPL13"
"RPLP1",0,0.704731864021916,0.996,0.979,0,"Low","RPLP1"
"RPL41",0,0.62842514390663,0.997,0.981,0,"Low","RPL41"
"MALAT1",0,0.527925741226039,1,0.993,0,"Low","MALAT1"
"B2M",0,0.646667375621023,0.999,0.993,0,"Low","B2M"
"EIF4A2",4.82740788663381e-301,1.33512052777341,0.737,0.606,1.0044387589719e-296,"Low","EIF4A2"
"DNAJA1",1.41668591893356e-298,1.05130954187223,0.868,0.735,2.94769839152506e-294,"Low","DNAJA1"
"PPP2R5C",4.91684103603892e-298,2.06067485566032,0.6,0.369,1.02304711436862e-293,"Low","PPP2R5C"
"CMC1",1.77535604409196e-296,2.88343724303278,0.501,0.207,3.69398332094215e-292,"Low","CMC1"
"RPL10",1.33988451013039e-294,0.529231783493405,0.996,0.972,2.78789770022831e-290,"Low","RPL10"
"SOCS1",8.79514471500924e-293,2.70379374446505,0.501,0.216,1.83000576085197e-288,"Low","SOCS1"
"IFRD1",3.34658514812136e-291,1.63330081030322,0.678,0.51,6.96323971769612e-287,"Low","IFRD1"
"IER5",6.25844327764676e-286,1.17442889901467,0.756,0.592,1.30219429277996e-281,"Low","IER5"
"TGFB1",3.41643434726435e-285,1.64042441365345,0.685,0.541,7.10857494635294e-281,"Low","TGFB1"
"ARID4B",1.02362891604226e-284,1.80731742992925,0.613,0.418,2.12986468560912e-280,"Low","ARID4B"
"RPL37",2.75266786703041e-284,0.549727306916698,0.988,0.918,5.72747603093018e-280,"Low","RPL37"
"ABHD17A",4.24774845147149e-283,2.12939937247006,0.565,0.333,8.83829020297672e-279,"Low","ABHD17A"
"RPS4X",9.78446625651373e-283,0.56258173909595,0.986,0.924,2.03585389399281e-278,"Low","RPS4X"
"BTG2",1.59057062685895e-282,1.40107143322221,0.739,0.6,3.30950030330543e-278,"Low","BTG2"
"RPL13A",9.61203404953756e-282,0.664801270876182,0.97,0.901,1.99997592468728e-277,"Low","RPL13A"
"JUN",1.81905419337575e-281,0.994414822363908,0.945,0.808,3.78490606015692e-277,"Low","JUN"
"H2AFX",1.53266451264356e-280,2.10124812078093,0.557,0.307,3.18901505145746e-276,"Low","H2AFX"
"TSPYL2",4.48703152509059e-277,2.22420929570022,0.553,0.291,9.336166494256e-273,"Low","TSPYL2"
"HNRNPA1",8.24405982362659e-276,0.931088664455548,0.818,0.72,1.71534152750198e-271,"Low","HNRNPA1"
"RPL6",4.74897501961562e-275,0.570309837646347,0.98,0.911,9.88119232331423e-271,"Low","RPL6"
"MATK",4.81997279068639e-272,3.29838735116203,0.399,0.094,1.00289173855812e-267,"Low","MATK"
"RSRP1",3.62038110621377e-270,1.43164857905792,0.708,0.556,7.53292696769899e-266,"Low","RSRP1"
"RPS21",3.8985974646693e-270,0.635516414937793,0.961,0.882,8.11181174473742e-266,"Low","RPS21"
"RPL19",9.46945178084696e-270,0.515624652141934,0.992,0.95,1.97030883204083e-265,"Low","RPL19"
"FGFBP2",1.72470271272924e-269,3.52961337913266,0.417,0.112,3.58858893437572e-265,"Low","FGFBP2"
"GADD45G",2.2220998805393e-269,3.20241309933299,0.443,0.149,4.62352322143812e-265,"Low","GADD45G"
"PIK3R1",5.36995153779798e-268,2.46846819624925,0.522,0.267,1.11732581646963e-263,"Low","PIK3R1"
"RNF19A",3.35639265116241e-267,2.19833442001838,0.525,0.274,6.98364618927362e-263,"Low","RNF19A"
"RPL5",3.87225601101926e-267,0.600301160293963,0.969,0.879,8.05700308212778e-263,"Low","RPL5"
"LBH",1.37512457715899e-265,3.32388983013916,0.402,0.105,2.86122170769471e-261,"Low","LBH"
"RPL32",4.7610782207163e-265,0.542047673767526,0.991,0.949,9.90637545384441e-261,"Low","RPL32"
"SRSF3",4.19398509581463e-262,1.10774518741643,0.752,0.622,8.72642478886151e-258,"Low","SRSF3"
"LEPROTL1",6.84599179115574e-262,2.0434095041842,0.549,0.33,1.42444551198577e-257,"Low","LEPROTL1"
"CNOT6L",8.73935059766679e-260,2.1228110836493,0.548,0.326,1.81839667885653e-255,"Low","CNOT6L"
"PNRC1",1.59369819986254e-256,0.775778461923028,0.916,0.769,3.31600784445399e-252,"Low","PNRC1"
"STAT4",1.19276030287153e-255,2.87026204088518,0.422,0.137,2.48177636218479e-251,"Low","STAT4"
"RHOH",3.85355351813638e-255,2.50691934180706,0.491,0.234,8.01808880518637e-251,"Low","RHOH"
"RPL14",5.70404112879443e-255,0.554678543408963,0.983,0.923,1.18683983766826e-250,"Low","RPL14"
"RARRES3",1.68071175910301e-253,1.64963281854533,0.576,0.353,3.49705695716562e-249,"Low","RARRES3"
"RBM38",4.76952765573839e-253,2.2885825586554,0.506,0.255,9.92395619329486e-249,"Low","RBM38"
"RPS12",2.07228565898547e-252,0.507066698474881,0.994,0.963,4.31180477065107e-248,"Low","RPS12"
"RPL34",5.46912632008801e-252,0.536684586306724,0.992,0.943,1.13796111342071e-247,"Low","RPL34"
"RPL24",1.49617207706877e-250,0.574867637369544,0.971,0.903,3.11308524075699e-246,"Low","RPL24"
"SKAP1",3.55182975862603e-248,3.39645131249099,0.371,0.085,7.39029217877318e-244,"Low","SKAP1"
"CXCR4",1.65925848419708e-247,1.57224878614996,0.679,0.518,3.45241912806886e-243,"Low","CXCR4"
"IFITM2",2.6646898944306e-247,0.848493669239561,0.864,0.651,5.54442026334175e-243,"Low","IFITM2"
"BRD2",2.79400706308491e-246,1.47353989123066,0.653,0.51,5.81349049616078e-242,"Low","BRD2"
"DDX3X",7.49172283693488e-245,1.1788270969894,0.748,0.614,1.55880277068104e-240,"Low","DDX3X"
