"","PCD_gene"
"1","AATF"
"2","ABL1"
"3","ACAA2"
"4","ACKR3"
"5","ACVR1"
"6","ACVR1B"
"7","ADORA1"
"8","AEN"
"9","AGT"
"10","AGTR2"
"11","AIFM1"
"12","AKT1"
"13","ANXA6"
"14","APAF1"
"15","APPL1"
"16","AR"
"17","ARHGEF2"
"18","ARL6IP5"
"19","ARMC10"
"20","ARRB2"
"21","ASAH2"
"22","ATF3"
"23","ATF4"
"24","ATM"
"25","ATP2A1"
"26","ATP2A3"
"27","ATP5IF1"
"28","AVP"
"29","BAD"
"30","BAG3"
"31","BAG5"
"32","BAG6"
"33","BAK1"
"34","BAX"
"35","BBC3"
"36","BCAP31"
"37","BCL10"
"38","BCL2"
"39","BCL2A1"
"40","BCL2L1"
"41","BCL2L10"
"42","BCL2L11"
"43","BCL2L12"
"44","BCL2L14"
"45","BCL2L2"
"46","BCL3"
"47","BCLAF1"
"48","BDKRB2"
"49","BDNF"
"50","BECN1"
"51","BID"
"52","BIK"
"53","BIRC6"
"54","BLOC1S2"
"55","BMF"
"56","BMP4"
"57","BMP5"
"58","BMPR1B"
"59","BNIP3"
"60","BNIP3L"
"61","BOK"
"62","BRCA1"
"63","BRCA2"
"64","BRSK2"
"65","BTK"
"66","CAAP1"
"67","CASP1"
"68","CASP10"
"69","CASP12"
"70","CASP2"
"71","CASP3"
"72","CASP4"
"73","CASP5"
"74","CASP8"
"75","CASP8AP2"
"76","CASP9"
"77","CAV1"
"78","CCAR2"
"79","CCK"
"80","CD14"
"81","CD24"
"82","CD27"
"83","CD28"
"84","CD38"
"85","CD3E"
"86","CD44"
"87","CD5"
"88","CD70"
"89","CD74"
"90","CDIP1"
"91","CDKN1A"
"92","CDKN2D"
"93","CEBPB"
"94","CFLAR"
"95","CHAC1"
"96","CHCHD10"
"97","CHEK2"
"98","CIB1"
"99","CIDEB"
"100","CLU"
"101","COA8"
"102","COL2A1"
"103","CRADD"
"104","CREB3"
"105","CREB3L1"
"106","CRH"
"107","CRIP1"
"108","CSF2"
"109","CSNK2A1"
"110","CSNK2A2"
"111","CTH"
"112","CTNNA1"
"113","CTSC"
"114","CTTN"
"115","CUL1"
"116","CUL2"
"117","CUL3"
"118","CUL4A"
"119","CUL5"
"120","CX3CL1"
