"","substanceBXH","geneSymbol","moduleColor","GS.Activity_score","p.GS.Activity_score","MM.brown","p.MM.brown","MM.grey","p.MM.grey","MM.blue","p.MM.blue","MM.turquoise","p.MM.turquoise"
"RIPK2","RIPK2","RIPK2","blue",0.459336080406466,1.88680543259472e-20,0.493778435759987,7.85794980065108e-24,0.439529094525248,1.13046870459353e-18,0.571461408524124,4.98401741564193e-33,0.37003121133368,2.74934933334065e-13
"PCK2","PCK2","PCK2","blue",-0.443644853165777,4.93616053621134e-19,-0.464232343931017,6.57916865925389e-21,-0.737756402147706,6.39303747654324e-64,-0.50862905872823,2.06765423565871e-25,-0.177677181390351,0.000649519784586363
"PPT1","PPT1","PPT1","blue",0.427770238112321,1.13458820650108e-17,0.680597181683336,5.5790518791263e-51,0.434926788895764,2.8178445219482e-18,0.722925473348948,2.98651811947557e-60,0.581432759237759,2.15271489368599e-34
"TRAF5","TRAF5","TRAF5","blue",0.415053257233645,1.24427555581416e-16,0.677047823455303,2.83960838720449e-50,0.454385246174684,5.38213268384004e-20,0.617237936163446,1.05531551772018e-39,0.567506652830196,1.68274598562336e-32
"YWHAZ","YWHAZ","YWHAZ","blue",0.413374654624941,1.69409969300044e-16,0.626626227095834,3.27860597349135e-41,0.560481339383311,1.40404730477034e-31,0.68172196258059,3.31526306730243e-51,0.54680431128726,7.57699168350227e-30
"CDKN2D","CDKN2D","CDKN2D","blue",0.408787831830581,3.90250668787049e-16,0.574138726552136,2.1664952448228e-33,0.481687692676547,1.33587606390485e-22,0.697705513694409,1.56629711641143e-54,0.398337866619085,2.49144272317932e-15
"LPAR2","LPAR2","LPAR2","blue",0.398497416553742,2.42309444436302e-15,0.637562988319564,4.932759041251e-43,0.649113707673304,4.85773757878699e-45,0.629288008752329,1.19895469451034e-41,0.420821074204823,4.25245395390262e-17
"CD63","CD63","CD63","blue",0.390948162376076,8.88975551941794e-15,0.511489780857701,1.00500765250487e-25,0.672474716493876,2.23500922238699e-49,0.709673536644365,3.60686784941395e-57,0.313224201339284,9.46090039597981e-10
"ATP13A2","ATP13A2","ATP13A2","blue",0.376270729572766,1.01344155559301e-13,0.712131370386353,9.97085356676101e-58,0.483530260808134,8.73760086286912e-23,0.758209332321432,2.06827829690571e-69,0.638480244463988,3.44248331325336e-43
"ITM2C","ITM2C","ITM2C","blue",0.35970507095758,1.36857860516999e-12,0.554702116899368,7.74541891387984e-31,0.526966763087506,1.79790898837383e-27,0.5590860382776,2.12703323463219e-31,0.392036194524867,7.38612256778243e-15
"CHMP4B","CHMP4B","CHMP4B","blue",0.358275377677959,1.7014323400944e-12,0.598167497599413,8.59765191019632e-37,0.646985407880408,1.15534868218078e-44,0.841112987344663,6.39716246187311e-99,0.489697578401825,2.0705603596266e-23
"DSG1","DSG1","DSG1","blue",-0.346521392861166,9.77994727356538e-12,-0.309032186644149,1.61860448058023e-09,-0.600786481735709,3.51681984137347e-37,-0.360974674904765,1.12697453767493e-12,0.0625459677091636,0.233258227066732
"IL12A","IL12A","IL12A","blue",0.344017256577983,1.40639123810591e-11,0.434541644521462,3.03975421399987e-18,0.415227119731355,1.20501400631745e-16,0.50669183424887,3.35715641694632e-25,0.332568528726766,7.10688661273419e-11
"SLC2A1","SLC2A1","SLC2A1","blue",0.333114373894566,6.58853850881668e-11,0.518115468743077,1.84098669438202e-26,0.379883427059013,5.6305751501164e-14,0.568801224068055,1.13193351428141e-32,0.474155560256681,7.37845519359554e-22
"G6PD","G6PD","G6PD","blue",0.330714963616209,9.18085666385087e-11,0.47641022889967,4.4434167649338e-22,0.530651058743339,6.68989079739995e-28,0.772079119890394,1.86519424313954e-73,0.436863993178065,1.92172260594666e-18
"ARHGEF2","ARHGEF2","ARHGEF2","blue",0.329404333944758,1.09916700944796e-10,0.635681558766558,1.02769621221173e-42,0.555897553944513,5.45528342594963e-31,0.695987783743686,3.65405547871187e-54,0.580159202098503,3.23512549800354e-34
"MMP1","MMP1","MMP1","blue",0.327900902233402,1.34985564711264e-10,0.46714890037489,3.48417350940168e-21,0.377812068814252,7.89380580653816e-14,0.52244064752021,5.95770333843093e-27,0.368249287928725,3.64171987814899e-13
"STXBP2","STXBP2","STXBP2","blue",0.325423502603877,1.88907813958158e-10,0.436650142126506,2.00490143930552e-18,0.602941216827581,1.67511660415971e-37,0.616845505521854,1.21702455087433e-39,0.207875354391734,6.29080559384467e-05
"BAX","BAX","BAX","blue",0.320566082471979,3.61928471933907e-10,0.441689056014572,7.32837919572267e-19,0.623293006055652,1.13985927563039e-40,0.747155802099327,2.23023032109912e-66,0.317637149218285,5.32677306313135e-10
"BAK1","BAK1","BAK1","blue",0.315289779141505,7.23889636688112e-10,0.569503437051437,9.12215425302998e-33,0.612954336013053,4.94938171931075e-39,0.758517022124851,1.69377614726268e-69,0.530595956774353,6.79014639901404e-28
"CAPZB","CAPZB","CAPZB","blue",0.315169266796296,7.3532597568217e-10,0.567910403603411,1.48728806519153e-32,0.274683068089308,9.67453030423671e-08,0.699724781537888,5.74160786556633e-55,0.586575185932827,4.08042767182503e-35
"TCIRG1","TCIRG1","TCIRG1","blue",0.314016648792593,8.53956152018279e-10,0.509191999342539,1.79497206747991e-25,0.41339858659839,1.68668302602663e-16,0.520543118611624,9.792690406807e-27,0.394100632283508,5.18689380890643e-15
"ATG7","ATG7","ATG7","blue",0.308379467608364,1.75842601825802e-09,0.598523939550566,7.61643676885876e-37,0.34297151622492,1.63521973115849e-11,0.693373307285805,1.31150244965471e-53,0.620663312234941,3.01443638268331e-40
