"","Hallmark_my_geneset"
"TCGA-RC-A7SF",3.21909774158237
"TCGA-EP-A2KC",3.16987461805676
"TCGA-ES-A2HS",3.07294476923314
"TCGA-CC-5259",3.30038083687716
"TCGA-ED-A97K",3.35414949333763
"TCGA-DD-A3A1",3.29770287854422
"TCGA-G3-A6UC",3.00317085419174
"TCGA-DD-AACU",3.17864502171103
"TCGA-DD-A1EG",3.43047159251347
"TCGA-DD-A4NJ",3.29550704975355
"TCGA-BD-A3ER",3.31501390259482
"TCGA-G3-A5SL",3.11434951666077
"TCGA-DD-A73F",3.36942624555928
"TCGA-CC-A3M9",3.84901032741608
"TCGA-ED-A627",3.56818488513781
"TCGA-CC-A8HT",3.35646080855319
"TCGA-UB-A7MF",3.49841946237935
"TCGA-2Y-A9H1",3.31240314239201
"TCGA-DD-AADO",3.41113564417073
"TCGA-ZP-A9CV",3.29264947154872
"TCGA-4R-AA8I",3.11590364753777
"TCGA-DD-A113",3.19394113410681
"TCGA-DD-AADL",2.98109312350159
"TCGA-RC-A7SK",3.02535355405549
"TCGA-DD-AAEA",3.2348369585797
"TCGA-FV-A495",3.31059459607171
"TCGA-EP-A26S",3.03584493528504
"TCGA-DD-AAEG",3.07808350069217
"TCGA-G3-A25S",3.23989276654068
"TCGA-G3-A3CJ",3.20331587165891
"TCGA-G3-A3CI",3.310673736844
"TCGA-2Y-A9H2",3.293735000108
"TCGA-DD-A4NG",3.20589870439156
"TCGA-K7-A6G5",3.29769337969787
"TCGA-DD-AADG",2.98022887218549
"TCGA-LG-A9QC",3.10603445078245
"TCGA-DD-AACJ",3.14573542373095
"TCGA-DD-A1EA",3.20497495306155
"TCGA-LG-A9QD",3.26023268728525
"TCGA-ED-A7PY",3.12934048890297
"TCGA-NI-A4U2",3.20426581935119
"TCGA-DD-A1EK",3.20301803560714
"TCGA-DD-AADP",3.24532860506343
"TCGA-DD-AAVS",3.15622755000277
"TCGA-ED-A82E",3.30153417838621
"TCGA-CC-A7II",3.18766212420289
"TCGA-EP-A3JL",3.39463852096081
"TCGA-DD-A3A4",3.06521355374436
"TCGA-DD-AACP",3.11998072610873
"TCGA-2Y-A9H6",3.32620012782422
"TCGA-UB-A7MB",3.02802353417843
"TCGA-UB-A7MD",3.39641468686319
"TCGA-CC-5260",3.34583515187643
"TCGA-DD-A1EH",3.11977060524517
"TCGA-ED-A4XI",3.27578367405433
"TCGA-DD-AADR",3.23649744522606
"TCGA-FV-A496",3.02361839054005
"TCGA-G3-A3CG",3.23104618977553
"TCGA-DD-AACS",2.99994566380209
"TCGA-DD-AAVR",3.56053228197047
