"","hubgene"
"1","CTSW"
"2","CD69"
"3","PRF1"
"4","FYN"
"5","ZC3H12A"
"6","NR4A2"
"7","PTPRC"
"8","PPP1R15A"
"9","TRIM22"
"10","HAVCR2"
"11","BCL3"
"12","PRNP"
"13","CTSB"
"14","CFD"
"15","PLAUR"
"16","CTSS"
"17","SOD2"
"18","CYBB"
"19","LGALS3"
"20","IL1B"
"21","TIMP2"
"22","CXCL8"
"23","S100A9"
"24","HMOX1"
"25","CTSL"
"26","FGR"
"27","BCL2A1"
"28","PFKFB3"
"29","ICAM1"
"30","TYROBP"
"31","LGALS1"
"32","PLK3"
"33","IL10RA"
"34","GSTP1"
"35","ACTB"
"36","CD300A"
"37","IER3"
