"","TP53","KRAS","Sample"
"TCGA-2V-A95S",0,0,"TCGA-2V-A95S"
"TCGA-2Y-A9GS",1,0,"TCGA-2Y-A9GS"
"TCGA-2Y-A9GT",0,0,"TCGA-2Y-A9GT"
"TCGA-2Y-A9GU",0,0,"TCGA-2Y-A9GU"
"TCGA-2Y-A9GV",0,0,"TCGA-2Y-A9GV"
"TCGA-2Y-A9GW",0,0,"TCGA-2Y-A9GW"
"TCGA-2Y-A9GX",0,0,"TCGA-2Y-A9GX"
"TCGA-2Y-A9GY",1,0,"TCGA-2Y-A9GY"
"TCGA-2Y-A9GZ",0,0,"TCGA-2Y-A9GZ"
"TCGA-2Y-A9H0",0,0,"TCGA-2Y-A9H0"
"TCGA-2Y-A9H1",0,0,"TCGA-2Y-A9H1"
"TCGA-2Y-A9H2",0,0,"TCGA-2Y-A9H2"
"TCGA-2Y-A9H3",0,0,"TCGA-2Y-A9H3"
"TCGA-2Y-A9H4",1,0,"TCGA-2Y-A9H4"
"TCGA-2Y-A9H5",0,0,"TCGA-2Y-A9H5"
"TCGA-2Y-A9H6",0,0,"TCGA-2Y-A9H6"
"TCGA-2Y-A9H7",0,1,"TCGA-2Y-A9H7"
"TCGA-2Y-A9H8",1,0,"TCGA-2Y-A9H8"
"TCGA-2Y-A9H9",0,0,"TCGA-2Y-A9H9"
"TCGA-2Y-A9HA",1,0,"TCGA-2Y-A9HA"
"TCGA-2Y-A9HB",0,0,"TCGA-2Y-A9HB"
"TCGA-3K-AAZ8",0,0,"TCGA-3K-AAZ8"
"TCGA-4R-AA8I",1,0,"TCGA-4R-AA8I"
"TCGA-5C-A9VG",0,0,"TCGA-5C-A9VG"
"TCGA-5C-A9VH",0,0,"TCGA-5C-A9VH"
"TCGA-5C-AAPD",1,0,"TCGA-5C-AAPD"
"TCGA-5R-AA1C",0,0,"TCGA-5R-AA1C"
"TCGA-5R-AA1D",0,0,"TCGA-5R-AA1D"
"TCGA-5R-AAAM",0,0,"TCGA-5R-AAAM"
"TCGA-BC-4073",0,0,"TCGA-BC-4073"
"TCGA-BC-A10Q",0,0,"TCGA-BC-A10Q"
"TCGA-BC-A10R",0,0,"TCGA-BC-A10R"
"TCGA-BC-A10T",0,0,"TCGA-BC-A10T"
"TCGA-BC-A10U",1,0,"TCGA-BC-A10U"
"TCGA-BC-A10W",0,0,"TCGA-BC-A10W"
"TCGA-BC-A10X",0,0,"TCGA-BC-A10X"
"TCGA-BC-A10Y",0,0,"TCGA-BC-A10Y"
"TCGA-BC-A10Z",0,0,"TCGA-BC-A10Z"
"TCGA-BC-A112",0,0,"TCGA-BC-A112"
"TCGA-BC-A216",1,0,"TCGA-BC-A216"
"TCGA-BC-A217",1,0,"TCGA-BC-A217"
"TCGA-BC-A3KF",0,0,"TCGA-BC-A3KF"
"TCGA-BC-A3KG",0,0,"TCGA-BC-A3KG"
"TCGA-BC-A5W4",1,0,"TCGA-BC-A5W4"
"TCGA-BC-A69H",1,0,"TCGA-BC-A69H"
"TCGA-BC-A8YO",1,0,"TCGA-BC-A8YO"
"TCGA-BD-A2L6",0,0,"TCGA-BD-A2L6"
"TCGA-BD-A3EP",1,0,"TCGA-BD-A3EP"
"TCGA-BD-A3ER",0,0,"TCGA-BD-A3ER"
"TCGA-BW-A5NO",0,0,"TCGA-BW-A5NO"
"TCGA-BW-A5NP",0,0,"TCGA-BW-A5NP"
"TCGA-BW-A5NQ",0,0,"TCGA-BW-A5NQ"
"TCGA-CC-5258",1,0,"TCGA-CC-5258"
"TCGA-CC-5259",0,0,"TCGA-CC-5259"
"TCGA-CC-5260",0,0,"TCGA-CC-5260"
"TCGA-CC-5262",0,0,"TCGA-CC-5262"
"TCGA-CC-5263",0,0,"TCGA-CC-5263"
"TCGA-CC-5264",0,0,"TCGA-CC-5264"
"TCGA-CC-A123",0,0,"TCGA-CC-A123"
