"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPC3",5.38015931146731,6.46561435048351,12.566307479503,2.65895888874439e-25,8.82200850126349e-24,46.772871453432
"AKR1B10",4.83918295254896,7.1874015189939,9.84728543161201,5.19880593041765e-18,6.53558656378879e-17,30.0900782635637
"SPINK1",4.48369740399666,6.9018391600092,9.0249854953466,7.32897810281535e-16,6.84401978353965e-15,25.1841087379956
"S100P",4.31827906099658,5.29363998861204,8.59398333011832,9.35291901515389e-15,7.58680453765192e-14,22.6629427212269
"SPP1",4.30727115017343,7.48663037506834,9.81544914158265,6.30815792965054e-18,7.79695692677989e-17,29.8981925479445
"SFN",3.97207815787751,4.33129550161944,11.6244827286977,9.21804376933545e-23,2.1720425583248e-21,40.9566451813162
"NQO1",3.86510768310583,4.57704048018726,8.81624596892349,2.52742769960809e-15,2.19653847483659e-14,23.9581174254507
"LCN2",3.85762815543912,5.87918096979854,9.02151424302859,7.48192818279167e-16,6.97914590854563e-15,25.1636490687658
"MDK",3.81902083385004,6.03186263532126,14.9079262390831,1.44076610020941e-31,1.21289568067878e-29,61.1314273766425
"MUC13",3.69370772650151,3.76385882939831,9.25122489423539,1.89842735396572e-16,1.91323938394604e-15,26.5225114278094
"CDC20",3.66255501022347,3.52647810569449,16.7244533272534,2.62428191661182e-36,4.00049318117015e-34,71.9939089924547
"UBE2C",3.59108282379591,3.71475166621626,16.2737200313258,3.81994743638562e-35,5.12994687072073e-33,69.3285430480116
"MYBL2",3.5322630083274,3.25733278160193,14.96169516534,1.0385829993347e-31,8.96625659782779e-30,61.4572328931294
"EPS8L3",3.32680699011962,2.63570833168428,12.6603603313018,1.48302084500942e-25,5.06953448856656e-24,47.3536908408482
"BIRC5",3.17199853794851,3.04504033138965,16.8422745745413,1.30775401703204e-36,2.03013813965129e-34,72.6870808700664
"PTTG1",3.15930533698861,3.47883477479939,16.9940474676509,5.34364477457318e-37,8.95245675550028e-35,73.5777733180874
"TOP2A",3.03272574359836,3.0350036065335,15.3388032635971,1.05288249856473e-32,1.00577132842284e-30,63.73557948296
"CCNB1",2.9970532324592,3.69517727537978,17.999586209928,1.51694735954415e-39,3.20853328385582e-37,79.4131765042753
"DUSP9",2.91580275091999,2.81210643849459,9.37315888923903,9.13365392931988e-17,9.58750360657703e-16,27.2476954899984
"CCL20",2.84090669016697,4.84926496199849,9.31670500920387,1.28200350438249e-16,1.32111944565506e-15,26.9116244020856
"E2F1",2.8121418355377,3.08370235003069,16.1968090555406,6.04535793166911e-35,7.86873088936716e-33,68.8716389606318
"KIFC1",2.81001579191191,2.81399078476298,16.1955009156707,6.0927751724428e-35,7.86991211396218e-33,68.8638625345852
"CDKN3",2.79207927993261,2.71399943038385,17.8314499553507,4.01166819090791e-39,8.27822408028693e-37,78.4455873758139
"EEF1A2",2.75825257337028,2.99076125261617,6.4903760551052,1.13814538989447e-09,4.88052664531282e-09,11.1180733069244
"CTHRC1",2.68240807873144,2.52914054001359,10.7990607116561,1.5249721322019e-20,2.6117463005049e-19,35.8797091183827
"UBE2T",2.68033662099424,3.04445685138415,18.6907864298256,2.88390404422822e-41,7.50746774344395e-39,83.3553038153328
"G6PD",2.66272726694862,4.26416025726716,11.792440596784,3.25025593470411e-23,8.14778972905602e-22,41.9930688554666
"ACSL4",2.66215119296765,5.37183593602316,8.29352172624961,5.38994519112921e-14,3.98789954434182e-13,20.930524425818
"OR2I1P",2.64806098921794,5.10129564484104,9.07405769486314,5.47182820858649e-16,5.19286624326932e-15,25.4735930565084
