"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPC3",4.43482393724458,6.58641724733334,10.1356957007173,4.56908142512685e-21,1.24699075475115e-19,36.9729613103634
"MDK",2.94764473398314,5.96086963903378,10.934510613477,8.6720852642641e-24,3.3579028548424e-22,43.1746426556549
"AKR1B10",2.89776229789864,6.3707016051353,5.44790035779881,1.03279958006561e-07,4.30231454807736e-07,6.76185181534911
"PLVAP",2.86181720881823,6.26968759824026,19.9415978908159,1.07979190339928e-57,6.30039958531698e-55,120.643091330509
"UBE2C",2.7719095904079,3.59725767555043,12.7977061463875,1.88487985212032e-30,1.74284437036764e-28,58.3787004916298
"CDC20",2.57720184120675,3.19201495251559,12.619186663995,8.49793397366345e-30,7.01431906187118e-28,56.8852506708455
"E2F1",2.54055780120748,3.29368999047148,12.5063365574519,2.19416369357387e-29,1.71094211331629e-27,55.9446579554586
"TOP2A",2.53690741381489,3.08869252691157,12.6605758455936,5.99696384304654e-30,5.14029820747719e-28,57.2309095861845
"MUC13",2.4354805809887,3.30153437613429,5.76630573665153,1.9425459131203e-08,9.10269160783957e-08,8.38294800039113
"BIRC5",2.3954088141667,2.88505588529025,12.6602216733237,6.01488709343705e-30,5.14029820747719e-28,57.2279502035443
"MYBL2",2.37898691166594,2.83695271775766,10.7141615475961,4.9917619022992e-23,1.73085252354108e-21,41.4419321754773
"PTTG1",2.37561817163521,3.3191635829395,12.4152067142428,4.71048998757735e-29,3.62300913999074e-27,55.1871402020374
"COL15A1",2.3626604151429,2.6612849205514,14.7291936251379,1.1226243541666e-37,1.79206855630688e-35,74.8856466743937
"CDKN3",2.34529097324042,2.7632824012851,13.2941949556823,2.76862340178279e-32,2.98394118353928e-30,62.5651783863986
"ESM1",2.3125601379917,2.4821933933285,11.2956302426013,4.76616658784293e-25,2.20350559652705e-23,46.0476933245466
"SFN",2.30314219059001,3.57659261905807,6.89268072807456,3.02047937980289e-11,2.1674949781868e-10,14.6934347529526
"KIFC1",2.25816678140452,2.778043797538,12.7795733139448,2.19706959321412e-30,2.00954673442033e-28,58.2267053281209
"CCNB1",2.23993436195858,3.54309093547959,12.9697744809215,4.38811376205535e-31,4.19498717331857e-29,59.8243021261303
"UBE2T",2.19734184843704,3.05342060194551,15.1102002064566,3.98797433222866e-39,6.81621350259001e-37,78.1986046443886
"EEF1A2",2.14193498871838,2.91004726889118,5.315203245413,2.02800729448898e-07,8.06673987542268e-07,6.10867793961722
"NQO1",2.12410678177054,3.75096862528963,5.45418114757822,1.00001711584753e-07,4.17809620179163e-07,6.7930982422543
"UGT2B11",2.11178658909193,2.62208879396544,7.11295796341496,7.75438409810234e-12,6.03273256662021e-11,16.0258241042981
"CCNB2",2.09449372493311,2.44621611618982,12.533726866877,1.74337136783591e-29,1.36572161644219e-27,56.1726990250177
"SPC24",2.09449065762763,2.63904206934847,12.6489393456335,6.61466479863362e-30,5.59633715288397e-28,57.1336914967474
"CDK1",2.05650595197838,2.52886424217354,12.6397616415038,7.14626692909931e-30,6.01601904016365e-28,57.0570358052313
"REG3A",2.0434087778865,1.94320064825608,3.97066336686114,8.8954778396067e-05,0.000230505942609472,0.279184140006038
"CDT1",2.03137071078899,2.65413813277159,11.8050406363131,7.46668786485556e-27,4.38693838059795e-25,50.1655830727615
"EPS8L3",2.01771668472623,2.07023846684666,8.18306490131832,7.02988498695351e-15,8.45434853335042e-14,22.9103920790996
"ALG1L",1.99669516780414,2.70728443751595,8.38186441309587,1.78681337862899e-15,2.3213547477486e-14,24.2594513879275
"CDKN2A",1.98673366383312,2.20897519306107,10.9287617787581,9.07905831564594e-24,3.50745994883664e-22,43.1292353811764
"AURKA",1.98083040487116,3.38247414393329,12.9500980928367,5.1854829935544e-31,4.92941335583899e-29,59.6586996771976
"MMP11",1.97614488142639,2.51995777008033,9.01220573119234,2.04229052655124e-17,3.42154435641323e-16,28.6686561680785
"CCNA2",1.97186233696837,2.46159281253254,10.703762439721,5.41948357572295e-23,1.86767986934436e-21,41.3605570960169
"THY1",1.95288384816991,3.17642854654534,12.6841571574455,4.91601567764601e-30,4.28782996296124e-28,57.4280089869853
"TCF19",1.9470632956559,3.05888801296328,12.0559436437255,9.40069602421392e-28,6.33741742731967e-26,52.2194252236032
"NEK2",1.94255256417241,2.08039102366565,12.2267023296172,2.27427736756878e-28,1.66593278513556e-26,53.6261841675155
"THBS4",1.93977555084742,1.79318086646286,9.20671865172544,4.9505238596054e-18,8.99761699552986e-17,30.0674937305335
"CDCA5",1.93087461996512,2.37769033220713,12.7484087532872,2.85872658521724e-30,2.55939219833126e-28,57.9656308384857
"APLN",1.91055225231853,2.09805847568619,10.6659588958654,7.30500637275386e-23,2.48708275318648e-21,41.0650449472741
"CENPM",1.89869484833913,2.41428931310925,11.3065051685798,4.36479805375594e-25,2.02903153482429e-23,46.1348296229044
