"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-mir-1269a",3.41675367425087,4.97144791456515,5.93122063018909,2.00835679700477e-08,2.92846444586509e-07,6.92070434168467
"hsa-mir-183",3.23808091666121,10.1016732621376,9.87308346737069,5.22447603763092e-18,3.38870325061509e-16,28.7833561619678
"hsa-mir-10b",3.12071040666186,12.4433042322705,11.8666232931365,2.68058086916818e-23,4.58379328627759e-21,40.9410284403316
"hsa-mir-224",2.73035764651499,6.04301890925837,9.75773003397811,1.04703307625778e-17,6.56489738813626e-16,28.0906497776081
"hsa-mir-182",2.71140174388565,11.6328535108109,8.87852415276899,1.96826824852958e-15,8.45067464039349e-14,22.8786124816189
"hsa-mir-767",2.56101880466855,1.75983449848691,6.02727389671472,1.24824647682011e-08,1.89350937330534e-07,7.38711712593688
"hsa-mir-1269b",2.31812918949577,2.18369820621903,4.61909314138636,8.25719167925739e-06,7.4672007445592e-05,1.0593572226412
"hsa-mir-105-2",2.31229108924005,1.58720098022017,5.72294526194668,5.54784272487015e-08,7.23724298294701e-07,5.92547822917278
"hsa-mir-105-1",2.29835896675628,1.58337121617473,5.72022056308154,5.62129216478563e-08,7.24222641230258e-07,5.91260808629195
"hsa-mir-452",2.17497753583372,7.07666908688215,8.54746210217923,1.36504604832283e-14,4.93779157095239e-13,20.9539101953628
"hsa-mir-9-1",2.17015058356829,6.69250237708872,5.96751726449858,1.67885725263751e-08,2.50629404143743e-07,7.09641157127242
"hsa-mir-9-3",2.1443658885319,6.69784396517697,5.87019041282805,2.71075628709315e-08,3.86282770910774e-07,6.62676475741127
"hsa-mir-96",2.13674364087601,2.54220656111574,8.1232412987223,1.57634069974332e-13,4.78241428422128e-12,18.5252004438889
"hsa-mir-9-2",2.12842768244706,6.71953715845796,5.81154457112811,3.61011185357966e-08,4.88533841480816e-07,6.34610244275481
"hsa-mir-21",1.86096864467902,17.3012584974343,22.7533495339994,2.1407277384884e-50,1.34223629203223e-47,103.492514884044
"hsa-mir-93",1.7070964482329,12.0455033726591,11.3379048426151,6.9098937922423e-22,9.28393587371983e-20,37.6942196965014
"hsa-mir-500a",1.54877315572749,8.30460656111574,10.8293565298271,1.56012045500516e-20,1.46729328793235e-18,34.5818977849224
"hsa-mir-4661",1.43820992518524,2.64782836717688,7.25237564326336,2.05835786263507e-11,4.50205946467043e-10,13.6999601418025
"hsa-mir-196b",1.43388658724018,4.40659174378317,4.34019023866859,2.61088859633403e-05,0.000212600928558628,-0.0491206491520018
"hsa-mir-1266",1.42328326365485,2.50424904390158,7.86341580507798,6.89978106339311e-13,1.88094031597717e-11,17.0612390490865
"hsa-mir-34c",1.41853749642647,1.41028628568922,6.90217336273891,1.36406795149615e-10,2.49107943375171e-09,11.8320585161796
"hsa-mir-4746",1.41596397134614,1.75823764308583,9.99400934984875,2.51661672465496e-18,1.69062716395571e-16,29.5113508464432
