"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-mir-1269a",3.62801476389572,5.58816110197711,6.15010274139662,2.39741587067146e-09,4.79738218375854e-08,8.80173494419863
"hsa-mir-10b",3.13823446240689,12.8908611555671,10.7231672966662,5.1927778514981e-23,1.0852905709631e-20,39.9218102201588
"hsa-mir-224",2.59051795657563,6.19097930228928,9.15294055575642,7.83498631844035e-18,6.14067052707763e-16,28.0781800501749
"hsa-mir-183",2.32443275744412,9.76206123204995,6.62609994370076,1.53636467506328e-10,3.61237744224254e-09,11.4950426918214
"hsa-mir-182",2.10133560992552,11.4586932341311,6.43597652040321,4.68592983445428e-10,1.02491093239634e-08,10.4008680095134
"hsa-mir-1269b",2.10051482903221,2.3430271082206,4.20394369198176,3.44042019161077e-05,0.000308276445731362,-0.473284670003148
"hsa-mir-452",1.9880126327543,7.12655272424558,8.14954244643778,9.23716330911824e-15,4.23783028889059e-13,21.0747871788071
"hsa-mir-96",1.73046596066994,2.46195002185224,6.67640694523168,1.13938483570943e-10,2.71288971641701e-09,11.7885729759828
"hsa-mir-93",1.55553824565753,12.134215012487,13.7323429417077,8.17255405041298e-34,3.07451483376536e-31,64.7083422822611
"hsa-mir-767",1.5154055064516,1.31107653121748,4.33474224567977,1.97801524104113e-05,0.000187911447898907,0.0556069769354277
"hsa-mir-552",1.41864957196027,2.39510972164412,3.40927961894492,0.000737986125121983,0.00490513039347862,-3.37015602693626
"hsa-mir-217",1.39303468858558,8.1326278194589,2.68662891846267,0.00760903900721379,0.0377641223550637,-5.51415810967829
"hsa-mir-105-2",1.30687400099253,1.13031660405827,4.08943455987969,5.52325925951654e-05,0.000470101840142562,-0.924434254093873
"hsa-mir-500a",1.29785650992553,8.24650916961498,11.092137088061,2.77884843839459e-24,6.53376739077529e-22,42.834674701132
"hsa-mir-105-1",1.29532494652603,1.12571832934443,4.02861437733333,7.07182501754419e-05,0.000583425563947395,-1.15951229696377
"hsa-mir-532",1.2582959791563,10.2506486212279,10.2273456106633,2.47571890072604e-21,3.58217480943514e-19,36.079700723465
"hsa-mir-589",1.2452035791563,6.32208095993756,9.93364865421678,2.34442358654783e-20,2.93990717753098e-18,33.8461260643401
"hsa-mir-184",1.23656793188583,1.61525027835588,4.09284798237151,5.44669564373175e-05,0.000465692477539064,-0.911147206645449
"hsa-mir-891a",1.20267510099253,1.21234389438085,5.00276276080584,9.5090207641028e-07,1.20854513900523e-05,2.97668159297509
"hsa-mir-221",1.19346141104216,6.60111828668054,7.75785632102735,1.27420154809546e-13,4.699555121505e-12,18.4819705769008
"hsa-mir-34a",1.18638679913149,8.17113623152966,7.31666717938271,2.21448464030102e-12,6.4083778590865e-11,15.6655475446907
"hsa-mir-21",1.18629532009924,17.18818710718,11.3478473766234,3.56619614629004e-25,1.11800249186193e-22,44.8782084407976
"hsa-mir-216b",1.18591030111661,3.08470614932362,2.70129383676402,0.00728902545190798,0.0366595103610666,-5.47543956266267
"hsa-mir-1266",1.18328822741934,2.41460769719043,7.62204462667166,3.10468019357781e-13,1.04283990073569e-11,17.6029379018437
"hsa-mir-508",1.17194736513646,2.19676282882414,4.74703859131102,3.16472797460672e-06,3.60778989105166e-05,1.81570508268148
"hsa-mir-4746",1.16594178176176,1.70672729760666,9.41194035910643,1.17159590270013e-18,1.00171449680861e-16,29.9630061641219
"hsa-mir-19a",1.14239548151362,5.36601765868887,6.56877368110051,2.15566591220588e-10,5.00593528501144e-09,11.1625907588276
"hsa-mir-20a",1.14100524975184,9.10014374817898,7.11133137781949,8.05058416083666e-12,2.16330697236196e-10,14.3942558910007
"hsa-mir-1180",1.13898139888335,3.99577999583767,7.66008745414919,2.42170267866369e-13,8.43559766401186e-12,17.8481047237592
"hsa-mir-9-1",1.13411810086847,6.01460510718002,4.09365880633594,5.42865781662772e-05,0.000465692477539064,-0.907989541460838
"hsa-mir-216a",1.12225236625308,3.21741478459938,2.66023151545346,0.00821711842984553,0.0401464929001024,-5.58334592423088
"hsa-mir-9-3",1.11590288436723,6.02357066753382,4.00323171096404,7.8332935786301e-05,0.00064062718353927,-1.25668222480816
"hsa-mir-135a-2",1.09548257915631,1.18970265348595,4.99029484738969,1.00947145361144e-06,1.27437302298196e-05,2.91887198929464
"hsa-mir-501",1.08357511029775,5.61011275702393,9.79959292410708,6.4714279009539e-20,7.16044463629076e-18,32.8377359182653
"hsa-mir-660",1.07793928957814,6.11688650416233,8.39278076411289,1.73924157150985e-15,9.34718113145723e-14,22.7263902610625
"hsa-mir-9-2",1.07377992506201,6.02162630489074,3.86220400697369,0.000136956391449238,0.00105148968292252,-1.78645133063767
"hsa-mir-196b",1.05930407630271,4.1141131930281,3.06836304702622,0.0023434119304146,0.0138615026449996,-4.44122993337873
"hsa-mir-222",1.02994010384614,4.64084001612903,7.39184763181115,1.37201032578182e-12,4.23074003736986e-11,16.1373948095013
"hsa-mir-520a",1.01474985421834,1.10007668418314,2.96748687572371,0.00323748585079561,0.0181404751756596,-4.73785146977007
"hsa-mir-17",0.930055189702212,10.1249402429761,6.453975542586,4.22065811879431e-10,9.34006814288483e-09,10.5034172390819
"hsa-mir-526b",0.917480357816364,1.18231612591051,2.6918577361069,0.00749351353991846,0.0374874972568793,-5.50037596988842
"hsa-mir-466",0.904743440694773,0.843685750260146,3.24652812139487,0.00129680133324827,0.00815813815331103,-3.89461703822194
"hsa-mir-4661",0.89534544764266,2.29681707544225,5.36827652168963,1.56617067966706e-07,2.3380690860744e-06,4.72529944364778
"hsa-mir-135a-1",0.888896373821323,1.10384986836629,4.40136724074436,1.48431270898289e-05,0.000146244458164325,0.330522603279579
"hsa-mir-34c",0.887885157692293,1.15478133870968,5.93868535114828,7.74054424710779e-09,1.44158056720889e-07,7.65569676969189
"hsa-mir-30d",0.883917728660035,13.610169182102,7.34721147865807,1.82377865083702e-12,5.36019944097569e-11,15.8568413105515
"hsa-mir-2114",0.876883175682367,1.21550403121748,4.03361566616052,6.9303309940017e-05,0.000574300188078159,-1.14030116447643
"hsa-mir-103a-1",0.857053911042168,13.5846232221644,8.21812846584427,5.78601519945711e-15,2.86407752373127e-13,21.537350616873
"hsa-mir-362",0.85628276997517,4.53719020707596,6.33735814559794,8.27952589983018e-10,1.73042091306451e-08,9.84288415221522
"hsa-mir-4652",0.848449513151342,0.71816850780437,3.9909383566426,8.22949771196536e-05,0.000661525008384908,-1.30354470825626
"hsa-mir-18a",0.843656769478891,3.86223455827263,5.25546896796429,2.7615339952231e-07,3.93518594319292e-06,4.17461264699169
"hsa-mir-103a-2",0.841844053846137,13.6125746451613,8.20367316300246,6.38682135031677e-15,3.08041306665278e-13,21.4396528575428
"hsa-mir-1301",0.840776988833731,3.16326557127992,6.47300798509207,3.77796425167967e-10,8.45994137786839e-09,10.6120916515713
"hsa-mir-7706",0.837427525682366,1.58608480541103,7.80319147430564,9.44385356210909e-14,3.77955075538877e-12,18.7777303122256
"hsa-mir-4326",0.833045390446635,2.18985754682622,5.39506153291579,1.36698383628645e-07,2.10762016070067e-06,4.85748042083607
"hsa-mir-500b",0.822112932754327,2.85723057908429,8.11071230521065,1.20251729290162e-14,5.38555959035225e-13,20.8140151544078
"hsa-mir-140",0.820447916377158,10.548080975026,9.81106994550252,5.93424308782102e-20,6.97644453011959e-18,32.9237881708146
"hsa-mir-502",0.811772643796509,3.75561317221644,7.67806802080889,2.15279904269877e-13,7.64040565908751e-12,17.9642694050273
"hsa-mir-519a-1",0.811111067493789,0.928252446930281,2.59376109886176,0.00994626612206137,0.0474845852172524,-5.75467265628591
"hsa-mir-3591",0.795537828039687,1.46773464932362,4.96150161896678,1.15837098441706e-06,1.45259721445899e-05,2.78583645811354
"hsa-mir-3200",0.788603832754328,1.48724551456816,4.81108958565493,2.35270702034094e-06,2.85512380984601e-05,2.10158549206065
"hsa-mir-1251",0.787407223821322,0.703566368366285,4.37045236914513,1.69659751977679e-05,0.000165381524674376,0.202497514173821
"hsa-mir-25",0.786888104590551,13.0985319812695,9.32710669969799,2.19005822322115e-18,1.79108674690391e-16,29.3423908666264
"hsa-mir-3677",0.780296396650111,2.06911392299688,6.01005409591259,5.2289235831525e-09,9.93495480798974e-08,8.03903104638352
"hsa-mir-1307",0.776857694292788,10.7739600145682,6.81474795519902,4.96706670930335e-11,1.24574033069328e-09,12.604277727865
"hsa-mir-106b",0.763638253473931,8.81834134807492,8.28281532289957,3.71376935626882e-15,1.94044448865046e-13,21.9758896818177
"hsa-mir-520b",0.746629676799,0.718024745057232,2.75942929931745,0.00613643540136355,0.0317978925343384,-5.31997312689772
"hsa-mir-454",0.73958507022331,2.96622950728408,6.78873860053806,5.81147973960625e-11,1.43834123555255e-09,12.4499711447331
