"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AL365181.3",1.76802270564876,2.13046446002827,7.20848254518764,4.30218498442465e-12,1.75433543253761e-10,15.9912647118722
"LINC01419",1.75262759436784,1.48007220764549,5.33518531671945,1.83956133061019e-07,3.09625866234908e-06,5.55887717970586
"AC010719.1",1.518035859928,2.05785850237734,11.8671980850822,4.71141390712859e-27,1.22366291661761e-24,50.1297174999954
"AL136372.2",1.47882990003137,1.42375289989918,5.04696663907585,7.64560445596077e-07,1.12042616688828e-05,4.17884960559545
"ST8SIA6-AS1",1.43772582546044,1.34067211982395,6.99204328169448,1.65597763802711e-11,6.10397696182832e-10,14.6657251341272
"AL590666.2",1.32959177223065,1.63591741086908,7.0471387122044,1.17817715086064e-11,4.46965992378187e-10,15.0003749244088
"AL162413.1",1.30364982573167,1.1456645117815,4.85249524199371,1.93029755794242e-06,2.6007408917146e-05,3.28448866049813
"AL096854.1",1.25939200454933,1.50475029461807,6.35443353054534,7.41531871020696e-10,2.0536237721326e-08,10.9357670414154
"GAS5",1.24872958782639,5.10912162588279,8.19756857086842,6.46283353009019e-15,4.24535236011606e-13,22.4015385846835
"LINC02365",1.20841650404213,1.31270132444674,5.00119083466277,9.53241362968633e-07,1.3777928672634e-05,3.96563340776744
"LINC00853",1.18408471550435,2.00677689936649,7.66926351747347,2.227210999582e-13,1.12238137596846e-11,18.9078322304221
"AP006621.2",1.16113552970594,1.85039386751542,7.61447114740906,3.18733522717892e-13,1.54622394555272e-11,18.5544643900731
"AC092535.5",1.15881275688051,3.19019372764455,6.01836843272244,4.94464909304013e-09,1.13882081839977e-07,9.0802777028244
"SNHG1",1.10454523274617,3.30122707185117,9.29782547980882,2.59412834808923e-18,2.68675305352408e-16,30.1399563117531
"AL162582.1",1.07729175033569,1.23523805793131,4.78647627319907,2.62621820799517e-06,3.42626088001349e-05,2.98772977246433
"AL590550.1",1.07418178429133,1.06972298727898,4.63718057579288,5.20398463608485e-06,6.27974757872655e-05,2.32961724965382
"C2CD4D-AS1",1.06255573298864,3.16405575275227,6.40436271844574,5.55805561951634e-10,1.56124950031073e-08,11.2180971359678
"SNHG25",1.04731551196864,2.49538216701876,7.33009700330747,1.99281068735763e-12,8.73834546077184e-11,16.7487250276223
"AC110285.2",1.04438328659845,1.73106259127827,7.6596187687078,2.37254857766895e-13,1.19206443714902e-11,18.845505595858
"AC011445.1",1.01136031504256,1.96570921067963,6.58985527886131,1.87754810406848e-10,5.82661159795663e-09,12.2817374427526
