"","Hugo_Symbol","High","Low","pval","or","ci.up","ci.low","adjPval"
"1","LAMA1",11,5,0.000526385907119004,6.35737835863752,24.01467754265,1.96942823782132,0.386035599653899
"2","ELAC2",5,0,0.00146595797336924,Inf,Inf,2.47763013430593,0.386035599653899
"3","WASHC4",5,0,0.00146595797336924,Inf,Inf,2.47763013430593,0.386035599653899
"4","NUP214",7,3,0.00564540742932681,6.49734291510225,39.7543654994073,1.44594856964049,0.601599638207074
"5","SORCS3",7,3,0.00564540742932681,6.49734291510225,39.7543654994073,1.44594856964049,0.601599638207074
"6","ADAMTS9",6,2,0.00653400339400369,8.28865474893869,85.5565885307529,1.4496447806017,0.601599638207074
"7","TLE4",5,1,0.00685366676438438,13.7025625523932,653.632813918783,1.50564588179248,0.601599638207074
"8","WDR49",5,1,0.00685366676438438,13.7025625523932,653.632813918783,1.50564588179248,0.601599638207074
"9","ZNF292",5,1,0.00685366676438438,13.7025625523932,653.632813918783,1.50564588179248,0.601599638207074
"10","VCAN",7,4,0.0120098322434966,4.85827504565965,23.1732363798101,1.20244909773103,0.672290702321
"11","DOCK2",12,11,0.0132915630612805,3.12161814003452,8.12569209653854,1.21150114028881,0.672290702321
"12","CYLC1",6,3,0.0152197160628171,5.51164066517487,34.7377085287736,1.14931854722605,0.672290702321
"13","SLC4A3",6,3,0.0152197160628171,5.51164066517487,34.7377085287736,1.14931854722605,0.672290702321
"14","ITIH5",5,2,0.0187220195583063,6.83625881046765,72.8157830864998,1.09674202598849,0.672290702321
"15","KALRN",5,2,0.0187220195583063,6.83625881046765,72.8157830864998,1.09674202598849,0.672290702321
"16","KIAA0100",5,2,0.0187220195583063,6.83625881046765,72.8157830864998,1.09674202598849,0.672290702321
"17","OR5D18",5,2,0.0187220195583063,6.83625881046765,72.8157830864998,1.09674202598849,0.672290702321
"18","SORCS1",5,2,0.0187220195583063,6.83625881046765,72.8157830864998,1.09674202598849,0.672290702321
"19","SUPT6H",5,2,0.0187220195583063,6.83625881046765,72.8157830864998,1.09674202598849,0.672290702321
"20","SVIL",5,2,0.0187220195583063,6.83625881046765,72.8157830864998,1.09674202598849,0.672290702321
"21","TACC2",5,2,0.0187220195583063,6.83625881046765,72.8157830864998,1.09674202598849,0.672290702321
"22","TTBK1",5,2,0.0187220195583063,6.83625881046765,72.8157830864998,1.09674202598849,0.672290702321
"23","DNAH10",7,5,0.022318355681636,3.87454137714938,15.8952367256872,1.02946315124931,0.705260039539699
"24","TDRD5",7,5,0.022318355681636,3.87454137714938,15.8952367256872,1.02946315124931,0.705260039539699
"25","TSC2",7,5,0.022318355681636,3.87454137714938,15.8952367256872,1.02946315124931,0.705260039539699
"26","TP53",37,65,0.0253388895775374,1.79789810649605,3.03638249669845,1.05931692734146,0.769912414086714
"27","PLXNA4",8,6,0.0267670176129554,3.71683966008745,13.3778030303684,1.09704130190786,0.778971047343714
"28","CADPS",6,4,0.0295811790130524,4.12150272859153,20.313571813535,0.953127157971783,0.778971047343714
"29","SAGE1",6,4,0.0295811790130524,4.12150272859153,20.313571813535,0.953127157971783,0.778971047343714
"30","SHANK1",6,4,0.0295811790130524,4.12150272859153,20.313571813535,0.953127157971783,0.778971047343714
"31","DHX57",5,3,0.0390353798321441,4.54648576989559,29.858621937401,0.865278811754424,0.790716668394713
"32","DIP2C",5,3,0.0390353798321441,4.54648576989559,29.858621937401,0.865278811754424,0.790716668394713
"33","DYSF",5,3,0.0390353798321441,4.54648576989559,29.858621937401,0.865278811754424,0.790716668394713
"34","FAM47A",5,3,0.0390353798321441,4.54648576989559,29.858621937401,0.865278811754424,0.790716668394713
"35","FLG2",5,3,0.0390353798321441,4.54648576989559,29.858621937401,0.865278811754424,0.790716668394713
"36","MIA3",5,3,0.0390353798321441,4.54648576989559,29.858621937401,0.865278811754424,0.790716668394713
"37","PCDH11X",5,3,0.0390353798321441,4.54648576989559,29.858621937401,0.865278811754424,0.790716668394713
"38","PCDHA7",5,3,0.0390353798321441,4.54648576989559,29.858621937401,0.865278811754424,0.790716668394713
"39","ZFPM2",5,3,0.0390353798321441,4.54648576989559,29.858621937401,0.865278811754424,0.790716668394713
"40","DNAH7",2,20,0.0492822504807523,0.248640175732345,1.05593140864897,0.0276500916928409,0.967672622407795
"41","KMT2A",7,6,0.0514458862545916,3.21800071217375,11.9175951261104,0.899807560927512,0.967672622407795
"42","PCDH7",7,6,0.0514458862545916,3.21800071217375,11.9175951261104,0.899807560927512,0.967672622407795
"43","CTNNB1",18,74,0.0573811271086571,0.560316465994261,1.02242886238805,0.295110673649272,1
"44","CDKN2A",0,10,0.0676344980682834,0,1.15606359153119,0,1
"45","TNN",0,10,0.0676344980682834,0,1.15606359153119,0,1
"46","POLQ",7,7,0.0681450910135065,2.74907755968495,9.46148470563303,0.798878175390246,1
"47","TG",7,7,0.0681450910135065,2.74907755968495,9.46148470563303,0.798878175390246,1
"48","COL4A5",0,9,0.0682498434209101,0,1.31731851901178,0,1
"49","DIDO1",0,9,0.0682498434209101,0,1.31731851901178,0,1
"50","NAV3",0,9,0.0682498434209101,0,1.31731851901178,0,1
"51","ARID2",2,18,0.076209241814713,0.278533819688034,1.19946641276309,0.0307685438221175,1
"52","DHX9",6,5,0.0779420064824653,3.28661097200348,13.9573912475281,0.814241516555881,1
"53","PRUNE2",8,9,0.0913189265825674,2.45210504483223,7.40676795703806,0.796848675277089,1
"54","DNAH17",6,6,0.0985427047434278,2.73009683192683,10.4940341465647,0.710454982551762,1
"55","FN1",6,6,0.0985427047434278,2.73009683192683,10.4940341465647,0.710454982551762,1
"56","PREX1",6,6,0.0985427047434278,2.73009683192683,10.4940341465647,0.710454982551762,1
"57","ADAMTS20",0,8,0.11285331711461,0,1.52820618681199,0,1
"58","NFE2L2",0,8,0.11285331711461,0,1.52820618681199,0,1
"59","NLRP12",0,8,0.11285331711461,0,1.52820618681199,0,1
"60","OR8H2",0,8,0.11285331711461,0,1.52820618681199,0,1
"61","SDK2",0,8,0.11285331711461,0,1.52820618681199,0,1
"62","SLIT2",0,8,0.11285331711461,0,1.52820618681199,0,1
"63","UMODL1",0,8,0.11285331711461,0,1.52820618681199,0,1
"64","MYO18A",5,4,0.121835086901896,3.4001629865833,17.5139957944671,0.71503006556479,1
"65","NYNRIN",5,4,0.121835086901896,3.4001629865833,17.5139957944671,0.71503006556479,1
"66","RANBP2",5,4,0.121835086901896,3.4001629865833,17.5139957944671,0.71503006556479,1
"67","RIMS1",5,4,0.121835086901896,3.4001629865833,17.5139957944671,0.71503006556479,1
"68","SPAG17",5,4,0.121835086901896,3.4001629865833,17.5139957944671,0.71503006556479,1
"69","TRPS1",5,4,0.121835086901896,3.4001629865833,17.5139957944671,0.71503006556479,1
"70","WNK2",5,4,0.121835086901896,3.4001629865833,17.5139957944671,0.71503006556479,1
"71","DYNC2H1",1,13,0.124002738192555,0.194865388644575,1.3308632310456,0.00452982047455072,1
"72","CSMD1",9,12,0.129698666042618,2.06829825364114,5.55762783795344,0.742584072814812,1
"73","NBEA",7,8,0.134732175602579,2.39704801485923,7.80634457420661,0.717955521200368,1
