"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SPP1",2.99783960897576,6.78977323676112,8.12189310474785,7.07310040489037e-15,1.51237395580464e-12,23.2218728708977
"CYP3A4",-2.63181695914963,5.94899235221993,-6.17761126729144,1.73050871841468e-09,4.09963414853978e-08,11.2261835680461
"S100A9",2.56799872221879,4.97257802905611,14.446017141903,9.24296198488765e-38,7.70770599919781e-34,74.5344537363647
"CRP",2.3692858855689,8.46162580152374,5.6313783221559,3.56236805449642e-08,5.17536362481632e-07,8.32328907966606
"SLC10A1",-2.16994992538169,5.889519111383,-7.09367920229959,6.77839180969314e-12,4.12810997795441e-10,16.5716806179133
"TAT",-2.15805909630787,6.48473402664665,-6.59481453731255,1.48825371160348e-10,5.37253147232097e-09,13.5889913883958
"AKR1B10",1.91598154806746,7.42684095996622,4.79207548226436,2.40185248771862e-06,1.82082253591687e-05,4.30894148884041
"AQP9",-1.86912514898259,6.94656562675549,-6.4963910617854,2.6839092976714e-10,8.67485257103946e-09,13.0205375014596
"ADH1B",-1.85930296019268,7.26627091166072,-6.99486284774636,1.26631538336057e-11,6.76910511656656e-10,15.9676482799773
"SLC22A1",-1.85129311853865,5.73812451482454,-5.58088919854627,4.65958753737881e-08,6.45030217328534e-07,8.06625129356906
"NQO1",1.73687218447305,4.68207991279415,5.37799899023388,1.34447777990104e-07,1.59937235472108e-06,7.05307723543062
"CPS1",-1.73197250518425,6.99356517653969,-5.34776478857057,1.57026915243799e-07,1.82593989105237e-06,6.90482469608844
"BHMT",-1.67107751925116,6.18776799819854,-5.91686436560158,7.53304869657151e-09,1.44742149955553e-07,9.81289594203601
"GNMT",-1.63522829999551,5.97855158685682,-6.14042507049887,2.14076498630409e-09,4.90435143428292e-08,11.0215995395279
"PDK4",-1.57521642594636,5.49089411976731,-8.45279883223181,6.79871819313211e-16,2.09979670416773e-13,25.4954363296492
"LGALS3",1.57097840453619,5.47274133024207,9.55083297162176,1.88910746028744e-19,1.75036301237077e-16,33.4561727682565
"SLC1A5",1.55358634813451,3.59723775118033,10.6519697659871,2.90234881261137e-23,8.06756224945542e-20,42.0060049277378
"SLC27A5",-1.53679736772831,5.90142016219929,-6.90355537281119,2.24319259474463e-11,1.14060872241314e-09,15.4152509470256
"CYP2C8",-1.51351458701424,6.83135130707074,-5.41749909768101,1.09651891061921e-07,1.34865356868047e-06,7.24783621436105
"PHLDA2",1.50293834916836,3.68831485822481,8.91057458180735,2.41222400099151e-17,1.05871241811938e-14,28.7394240261955
"SLC2A2",-1.49797421884366,7.54145717835616,-7.24770153358302,2.52705826688357e-12,1.93331549426992e-10,17.5258674459098
"AASS",-1.48254139413762,3.59800993622443,-8.51523884906403,4.34035552173052e-16,1.39208556521965e-13,25.9312842586484
"PCK1",-1.47954926981828,6.59490001472321,-5.02062943599846,8.05335342537423e-07,7.19593848151934e-06,5.34672047421356
"MMP9",1.46336799543716,2.80499479557891,7.85334749097586,4.51966030404449e-14,6.4981805647288e-12,21.4229503917191
"CDO1",-1.45444584409651,7.26280573516607,-6.86967226626752,2.76955145003053e-11,1.38295146956913e-09,15.2116763554362
"S100A6",1.43326295406854,6.92058985126665,7.23691201296498,2.70924394752416e-12,2.01717725700036e-10,17.4585258627767
"HPD",-1.42935678226797,8.38918509232126,-4.05657358881656,6.08706240358079e-05,0.000289066135441117,1.26267655567757
"GPLD1",-1.42124327205022,3.49341729809345,-7.05439518905107,8.69675136519988e-12,5.02565998296933e-10,16.3307819128022
"CYP2C9",-1.42115357900544,6.79816684438356,-5.37877914163133,1.339090535454e-07,1.59523942502155e-06,7.05691210679964
"S100A11",1.4063710344876,7.51623910636142,7.93760681211641,2.5371308324677e-14,4.01212200050938e-12,21.9828270897311
"TMSB10",1.39953907920633,10.9600420502608,8.27771666535202,2.3656262757629e-15,6.80239914261615e-13,24.2848147283807
"G6PD",1.39928772721093,4.26159954000375,9.48786689342113,3.07064804133855e-19,2.56061340167222e-16,32.983487777513
"CLDN4",1.39055832720475,2.83741326047288,5.3113528964756,1.89133666681686e-07,2.15168573868838e-06,6.72722680333398
"VNN2",1.39025872053559,2.91552235489961,7.12026878750758,5.72300351473387e-12,3.69954467514463e-10,16.7353067729223
"GPX2",1.36972808963958,8.14361519549634,4.91637790251629,1.33247204603643e-06,1.09472752629535e-05,4.86810869371318
"AFM",-1.36149228526062,6.56090665696754,-5.65538112744898,3.13337895820533e-08,4.64107409102562e-07,8.44616674473639
"CTH",-1.3472203955302,5.10659317269657,-6.33406467958846,6.9949576394693e-10,1.93790537393802e-08,12.097815862612
"ADH1A",-1.34107749077025,7.6554583996885,-5.48806362639609,7.59577552109768e-08,9.86622617919525e-07,7.59876952984371
"TREM2",1.32242230560563,3.23116036433853,9.07285450896586,7.19381098591242e-18,3.74932436322023e-15,29.9157163538497
"NR1I3",-1.32079166145132,4.50273232968287,-6.50354944318977,2.5718143788829e-10,8.37748441621270e-09,13.0616541753605
"ANO1",-1.31295715911348,3.69038850879339,-6.82573297522605,3.63604108820834e-11,1.72120602616461e-09,14.9488293862837
"SPINT1",1.30805722586971,2.77650572795646,5.19615295380658,3.38441322209584e-07,3.4972269961657e-06,6.17219274551952
"MUC13",1.30636714019205,4.1475455319422,3.88754390426771,0.000120187883967009,0.000512920554964632,0.627620478826267
"SLC16A3",1.2818042236918,2.00855821802965,10.9886146965148,1.79342128000421e-24,7.47767002697757e-21,44.7183230973711
"HSD17B6",-1.2794166551914,8.05406694021392,-5.33641006548192,1.6642415249666e-07,1.92217591089979e-06,6.84933124262899
"KNG1",-1.27714869503656,9.09617271903171,-6.32624778682106,7.32179337220621e-10,2.0084353595667e-08,12.0538515578653
"SLC25A15",-1.27612044851213,5.40596064511916,-8.77720572190377,6.45429799069976e-17,2.69111954722227e-14,27.7828436213314
"SPHK1",1.26501682644256,2.49979951764309,6.56255195448254,1.80692224951555e-10,6.3310607725673e-09,13.4019150289902
"SERPINC1",-1.25083950004218,11.0709879505273,-4.65478781664017,4.53922611179149e-06,3.12573134155485e-05,3.70603557002256
"C9",1.25033484614875,5.46932926173016,3.30350554211564,0.00104885015746068,0.00331564862458621,-1.3733936079545
"SLC6A8",1.23207909373425,2.80740282869957,6.51886371272418,2.34719889050905e-10,7.79812412269122e-09,13.1497370707223
"CLDN14",-1.22975455391927,4.08331126111841,-8.26582411666977,2.57311712979931e-15,7.15240791513214e-13,24.203204474166
"LY96",1.22318368845962,4.41952656983299,6.96635487407835,1.51470890985097e-11,7.84543950263803e-10,15.7945846929958
"NNMT",1.22044320466579,7.09492384581347,4.2513719251908,2.69895452914339e-05,0.000144829998832218,2.02506704089112
"UPB1",-1.21989599620165,5.47543781691124,-5.78804692041335,1.52990770081581e-08,2.56182737291225e-07,9.13318333961157
"MYBL2",1.21852137933073,3.67128517542503,6.55191532413757,1.92598168678342e-10,6.66421630128088e-09,13.340395999656
"CYP4F2",-1.21423614020737,5.49715588845562,-5.20572823489983,3.22586959995351e-07,3.35418037331824e-06,6.21792821917414
"SEC14L2",-1.21102092285133,5.04301391740289,-6.19923618874696,1.5284347910632e-09,3.66253382835517e-08,11.3456145772402
