"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AP001783.1",-1.37498370065567,2.76042704312076,-4.98439475534149,9.63697747457531e-07,6.58669853140811e-05,3.88364666167183
"AC079466.1",1.21920940584416,1.4202265845674,5.35938454685025,1.48630234992131e-07,1.56823476696073e-05,5.69339914058426
"LINC01018",-1.17243271041404,2.83404263427747,-4.82135464319066,2.09947313103471e-06,0.000120966912621597,3.13245092522968
"AC026803.3",-1.13581818474794,3.7620124710334,-7.08636164665281,7.19250997645258e-12,5.78209302011774e-09,15.4080244095748
"AL354872.1",-1.08185100331824,3.86688640678716,-5.95640374350841,6.0874053795916e-09,1.35220496866139e-06,8.80310835119855
"AC008549.1",-1.07703395576495,2.97444177385515,-4.85906825454089,1.75668447424074e-06,0.000105164352106852,3.30426627137305
"AL161668.4",-1.05529917260576,2.08364525066145,-7.50102996151773,4.90261905367777e-13,6.36661652801447e-10,18.0510270733245
"DCXR-DT",-1.036797257391,3.0228934642049,-5.70494733353515,2.41477438859466e-08,3.91982896425529e-06,7.45986522342726
"LINC02754",-1.01465703695996,1.61438476904999,-7.16199707874789,4.44273374978529e-12,3.94748585073028e-09,15.8817226801037
"AL360181.1",-1.01204752745291,2.49858835440417,-6.80508505099192,4.17632383615273e-11,2.26519146449106e-08,13.6801244448244
"LINC02499",-0.996592346996991,3.06809556665612,-5.56966931392618,4.97121080031258e-08,6.55656099459976e-06,6.75725557918015
"AC004862.1",-0.934760683213827,1.74224051012597,-6.16731428862888,1.84995638128455e-09,4.80476363520703e-07,9.96639390033497
"LINC01485",-0.928514437619831,3.79394565717306,-3.99950114462331,7.6913317650773e-05,0.00204480413949661,-0.313307212824355
"AP000355.1",-0.925854823668877,2.8069698731531,-5.24128506216273,2.70928492980339e-07,2.47233233432113e-05,5.11124426624672
"LINC00261",-0.912225676918258,5.75134499869197,-6.82083622531356,3.7897794410778e-11,2.13263521747584e-08,13.77546248741
"AC020978.4",-0.909970791683732,2.16644220733002,-6.21596288976278,1.39924665517025e-09,3.93701367209735e-07,10.2393827551692
"AP006222.2",0.886030871760781,1.23095865306585,5.02343576666546,7.97300169280796e-07,5.67933394843815e-05,4.06676181132135
"LINC00844",-0.882790522606551,1.41930780029928,-5.33833830131444,1.65543678131056e-07,1.66351688940982e-05,5.58884205155125
"AC023090.1",0.880487040962899,0.729422658395213,7.64659127735999,1.86185212719269e-13,3.40203167278405e-10,19.0049651335317
"AP001065.3",-0.877094946366169,2.60081118677156,-5.96894620414534,5.67621629906239e-09,1.27767844747695e-06,8.87136006406444
"AC090192.2",0.871342994736734,0.648150714622174,8.39903310701609,1.02254688454906e-15,4.3156591262393e-12,24.1415751449256
"LINC01436",0.857676317867119,1.10094229031413,5.12100480586629,4.93904985044222e-07,3.93306790448894e-05,4.52981646791466
"DBH-AS1",-0.842228695876687,3.85522526542604,-5.93811908909353,6.73942035150868e-09,1.44018853638189e-06,8.70382112428523
"TPRG1-AS1",-0.831740150955626,2.65133351152436,-4.79591035196899,2.36627640743058e-06,0.00013271587478486,3.01719745924531
"ZFPM2-AS1",0.829166292256551,1.26760751158681,5.2699876768983,2.34373673009706e-07,2.18602008162976e-05,5.25170703942872
"AL121845.4",-0.810465848385082,2.06642079087706,-6.18357285143668,1.68544424834777e-09,4.58930158074307e-07,10.0574347773332
"HNF4A-AS1",-0.795830649141245,3.37765135064825,-4.12281103578831,4.64078334156809e-05,0.00138175845453884,0.166649964645007
"AC079360.1",-0.762235935128814,1.22865011085703,-5.35175555398134,1.54557623748106e-07,1.6106430889602e-05,5.65545795206533
"MIR210HG",0.754914349152821,1.75622518892427,6.76891534213198,5.21653140958268e-11,2.5901612722522e-08,13.4618441504342
"LINC02768",-0.7350079881282,1.69469220464079,-4.87291032083106,1.64496747469531e-06,9.9179788956451e-05,3.36762274010861
"AC021074.3",-0.728592442447737,2.67667063675415,-3.64487044147321,0.000306500402693022,0.00585459382946013,-1.61879443939663
"AC003093.1",0.725680233927984,0.453262021111388,5.29801182842435,2.03323124550291e-07,1.9502846526466e-05,5.38948435282045
"LNCAROD",0.715366710876458,1.41621677708907,4.65700918152884,4.50565807056526e-06,0.000220476868252993,2.39752718306812
"AC099509.1",0.713644219053237,2.30950522307393,3.97599233471734,8.45691823872077e-05,0.002206641324669,-0.403297015157846
"LINC00942",0.707457785172827,0.800192139440317,3.57296008836855,0.000400503121692949,0.00710389801080663,-1.86981583146561
"AL590550.1",0.706745786418162,1.50160207752081,3.42975529230984,0.000673470427849027,0.0102335983464872,-2.35579310327346
