"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-mir-99a",-1.32405257576588,9.09139585830373,-8.47685600063371,6.06107684642135e-16,5.70044277405928e-13,23.633993486314
"hsa-mir-139",-1.22154514421099,6.66542371950798,-8.71500418616679,1.08509411224283e-16,2.04106202512877e-13,25.3364552251541
"hsa-mir-100",-1.10942022598962,12.13370303021,-6.78415104971669,4.82331554876157e-11,1.51210942453675e-08,12.504587461837
"hsa-mir-9-2",1.08833386798961,6.5207544808588,4.40988900470855,1.36819849921616e-05,0.000643395344256399,0.287989309231904
"hsa-mir-9-1",1.07268989952383,6.51925780802787,4.37084752753563,1.62234398353538e-05,0.000716000503383941,0.124872917544806
"hsa-mir-9-3",1.06243151556563,6.52222897345785,4.30119978900507,2.19184797355931e-05,0.000896275225709797,-0.162875213745751
"hsa-mir-1468",-1.05707245924518,3.64244986916921,-6.75009560715489,5.94254040487532e-11,1.59684550022435e-08,12.2996318766779
"hsa-let-7c",-1.02666646781176,10.6398291296107,-7.32129854268593,1.62357833957807e-12,6.10790171349269e-10,15.8407329037612
"hsa-mir-210",1.01355726328237,8.11534978514591,4.98625489714762,9.5978087744494e-07,9.78484877281481e-05,2.8454289266081
"hsa-mir-183",1.00144257141455,10.3946418056184,3.56327406759123,0.00041565481121585,0.0102874565775923,-2.95137071843624
"hsa-mir-552",-0.991418697122106,2.37163495752795,-3.19776971413927,0.00150787928337558,0.0251001852391988,-4.15199156833841
"hsa-mir-125b-2",-0.973136771328897,7.95443292600579,-7.73994825179474,1.01839848519953e-13,4.7890188766508e-11,18.5707542076381
"hsa-mir-767",0.964115399794935,1.84187973043485,3.14578914481944,0.00179454993855779,0.0296100739862035,-4.31280244517488
"hsa-mir-125b-1",-0.963928767756059,7.80430771211087,-7.74007815654714,1.01750709510277e-13,4.7890188766508e-11,18.5716183063607
"hsa-mir-105-2",0.930751146203631,1.61659852172712,3.27172040124055,0.0011724871676287,0.0212779408353747,-3.91892558402241
"hsa-mir-105-1",0.929034498278454,1.60917073380345,3.25835493523478,0.00122745172463622,0.0215779130284181,-3.96142072184375
"hsa-mir-204",-0.895102385652317,4.44021159176188,-4.43855065951294,1.20638769445257e-05,0.000581850064939816,0.40856684907166
"hsa-mir-200c",0.892056839146355,5.4718021462389,4.1513564364501,4.13155959102442e-05,0.00152381639033665,-0.767777512885569
"hsa-mir-1295b",-0.861478425192985,3.51371732798244,-4.67555474555059,4.15422609061843e-06,0.000289411084313084,1.43230390486204
"hsa-mir-653",0.814940516611002,2.91942791568512,5.43852236353368,9.94836061096732e-08,1.71848540134889e-05,5.04272824252873
"hsa-mir-135b",0.74262974911549,0.908340920112645,5.10547067300384,5.36175542102162e-07,6.06692456402197e-05,3.40867534795556
"hsa-mir-378c",-0.734562413442812,3.8232469179948,-4.82412553967985,2.08130211395837e-06,0.000177951330743441,2.09807478933614
"hsa-mir-223",0.722407155902089,6.87022160626453,5.32413634385391,1.79118392326034e-07,2.59170535357899e-05,4.47156272109095
"hsa-mir-141",0.716686589896894,2.88458278021194,3.48650419812896,0.000549983204235656,0.0124640771947864,-3.21363281079171
"hsa-mir-582",0.710262453406483,7.27214572210158,4.36880834785387,1.63679009279689e-05,0.000716000503383941,0.116388986971558
"hsa-mir-4662a",-0.699347524852686,5.47855731885114,-4.60405156907984,5.75747925166964e-06,0.00037344201628933,1.11845669930842
"hsa-mir-187",0.695403480531355,1.13510653578472,4.40037777344494,1.42634557640983e-05,0.00065437951932363,0.248131111341497
"hsa-mir-5588",-0.685458448822026,1.45590844645145,-6.5843972107799,1.62221466788949e-10,3.81423223787516e-08,11.3138774888694
"hsa-mir-195",-0.68340918683398,4.69560753946026,-4.78107537647807,2.54735336777846e-06,0.000208329203686578,1.90327156247701
"hsa-mir-149",0.655979609134521,3.01166987093408,4.51368334185751,8.64631849701151e-06,0.000451770141468851,0.727962057386774
"hsa-mir-6715a",-0.649941648531727,3.5417477685868,-2.97029620609257,0.0031751147636756,0.0432781947135782,-4.83724805603541
"hsa-mir-155",0.639394138188746,7.41341574918854,4.44144799004581,1.19109170821564e-05,0.000581850064939816,0.420794677389857
