,0
0,9.769497e-06
1,4.930599e-27
2,1.4861627e-07
3,1.3476844e-18
4,0.99993455
5,0.9981811
6,1.0
7,4.8473984e-29
8,2.7525778e-06
9,6.805358e-05
10,0.99998
11,1.888264e-05
12,2.8735393e-14
13,1.5120632e-07
14,2.1260005e-10
15,6.97906e-09
16,0.9999889
17,3.121271e-16
18,8.059746e-06
19,7.125533e-14
20,1.6053267e-12
21,1.0
22,1.3722328e-14
23,3.89164e-09
24,0.9999987
25,1.86185e-11
26,4.255788e-12
27,3.6690005e-11
28,0.9999919
29,2.656613e-09
30,2.4807333e-11
31,1.2623782e-16
32,0.9999999
33,0.9999999
34,2.2229376e-06
35,8.758068e-30
36,1.2106236e-07
37,0.9998192
38,1.8903971e-05
39,0.00045440925
40,2.1244762e-06
41,2.92474e-27
42,1.0
43,1.9498537e-24
44,1.0
45,1.567606e-17
46,0.99953794
47,1.4916615e-38
48,4.587861e-05
49,1.1566446e-05
50,0.9999908
51,4.1030362e-05
52,0.9999982
53,1.7501189e-06
54,0.999962
55,0.99999416
56,0.9999999
57,0.9999999
58,0.9999987
59,1.0
60,0.99999917
61,1.5022111e-05
62,3.1373868e-12
63,0.9989812
64,7.185713e-06
65,1.0
66,1.0
67,5.2717493e-09
68,1.9343085e-19
69,0.9999801
70,4.7617827e-32
71,5.7044187e-12
72,1.0
73,4.4367582e-14
74,0.0
75,7.579098e-08
76,0.99999964
77,3.6156922e-09
78,0.95784736
79,4.1668878e-12
80,0.99999774
81,2.3981463e-06
82,5.469661e-07
83,3.6020266e-14
84,2.5671931e-09
85,3.169135e-05
86,0.9999908
87,9.204193e-20
88,2.1941535e-24
89,2.8596264e-20
90,3.3358244e-22
91,1.5899124e-14
92,2.8682878e-29
93,2.4283604e-08
94,2.1457494e-11
95,0.99999845
96,0.99998605
97,0.99998295
98,1.9950226e-06
99,2.7532225e-05
100,0.9999969
101,0.99998665
102,1.0
103,6.5523698e-09
104,4.1271004e-09
105,1.0
106,0.9999999
107,5.3231433e-06
108,0.00022017011
109,1.7919188e-36
110,1.0
111,2.1281556e-17
112,5.294505e-27
113,1.6671918e-05
114,0.9999944
115,6.1156856e-28
116,0.05338822
117,1.178397e-05
118,9.208674e-12
119,2.861556e-10
120,2.7775478e-11
121,8.746831e-19
122,0.9999528
123,0.9999895
124,6.1146715e-24
125,2.204294e-07
126,2.1045565e-18
127,1.473315e-05
128,3.3672575e-25
129,0.9999999
130,1.0
131,1.1260124e-12
132,1.5988462e-26
133,9.8074385e-17
134,6.639257e-18
135,8.484636e-28
136,5.486612e-33
137,1.0236329e-29
138,2.6819207e-13
139,0.9646328
140,0.9992274
141,5.011981e-06
142,4.8858343e-05
143,3.163879e-29
144,1.8440801e-11
145,0.9999683
146,3.8824373e-06
147,2.5536674e-30
148,4.724909e-16
149,0.99999785
150,2.1186988e-05
151,0.9999515
152,1.9557563e-10
153,9.712431e-06
154,1.0
155,5.040374e-13
156,8.203714e-07
157,0.00010554423
158,1.9953968e-20
159,5.4451055e-23
160,1.4202195e-05
161,1.5816817e-11
162,3.3453088e-35
163,1.2541657e-12
164,0.9999907
165,0.99996984
166,1.0
167,6.3348093e-34
168,1.0189074e-05
169,0.99975747
170,2.0042284e-15
171,1.0
172,1.975739e-15
173,1.6646318e-14
174,0.99993193
175,2.5941828e-08
176,1.8120684e-06
177,4.991415e-30
178,2.7661342e-18
179,7.010124e-26
180,0.0018551139
181,1.5405096e-12
182,0.00024262255
183,2.7155743e-13
184,3.8687845e-06
185,3.3412148e-06
186,0.9999969
187,1.4090492e-05
188,0.9999951
189,9.680108e-11
190,6.615161e-19
191,2.1611485e-18
192,3.1806586e-13
193,8.7965844e-07
194,5.3645097e-09
195,4.159519e-05
196,3.123618e-12
197,5.29035e-18
198,2.8164127e-25
199,8.565372e-12
200,1.2046547e-06
201,3.6962955e-15
202,8.3336346e-07
203,2.1958807e-37
204,1.6424402e-27
205,1.3100527e-07
206,5.4462484e-23
207,0.9999771
208,2.166532e-24
209,5.159479e-21
210,8.070368e-16
211,1.109403e-20
212,3.9079416e-05
213,1.5173875e-08
214,3.9570428e-13
215,1.2317386e-09
216,0.00014727624
217,6.261608e-14
218,2.1148137e-06
219,0.0
220,1.9074246e-11
221,0.99984694
222,0.0
223,4.886759e-29
224,1.0652085e-24
225,0.99997675
226,8.6382016e-08
227,6.694151e-07
228,0.0003042998
229,0.99994123
230,5.332917e-08
231,6.4496555e-05
232,1.8759977e-08
233,9.439836e-10
234,5.7815627e-28
235,1.4308424e-05
236,9.283301e-06
237,5.3765685e-08
238,0.99999917
239,0.9999975
240,3.2262315e-29
241,1.8444795e-24
242,0.9999386
243,6.078167e-06
244,1.1037524e-17
245,0.00018649017
246,0.9999988
247,1.1588871e-24
248,0.013498543
249,2.2226856e-10
250,1.7617655e-05
251,2.2756096e-05
252,0.99990916
253,0.9999987
254,1.2092613e-12
255,0.9999931
256,1.0
257,1.0435553e-05
258,0.9999994
259,0.9999912
260,2.8039432e-34
261,0.9999517
262,0.9999757
263,2.5477056e-09
264,7.819591e-09
265,6.3502193e-07
266,4.7733345e-12
267,6.951705e-09
268,2.485562e-09
269,2.2182976e-14
270,2.566157e-15
271,0.99999523
272,3.6450497e-21
273,9.737686e-25
274,0.9999889
275,0.0
276,9.4477014e-26
277,0.9999999
278,7.008405e-05
279,5.9795795e-09
280,1.0
281,2.2370738e-14
282,1.214126e-35
283,5.219062e-10
284,5.597573e-28
285,4.1803205e-06
286,2.5868785e-28
287,3.152625e-11
288,1.0042124e-06
289,0.9999999
290,0.9999839
291,1.0
292,1.4826937e-10
293,0.99985075
294,7.502341e-26
295,2.327455e-09
296,4.4405665e-06
297,2.9076233e-05
298,0.99999213
299,3.190376e-08
300,1.7535775e-13
301,1.0
302,3.4878943e-11
303,2.8830163e-09
304,7.8057347e-16
305,9.2370734e-05
306,0.9999999
307,0.9999999
308,1.2835898e-07
309,8.981576e-22
310,0.9999255
311,2.3626767e-10
312,2.8496343e-13
313,5.0441025e-33
314,5.62649e-11
315,0.000103226266
316,0.9999993
317,9.745492e-17
318,0.0
319,2.0128402e-15
320,1.0
321,1.01086385e-07
322,5.100995e-13
323,1.2302041e-11
324,0.8903887
325,1.1761295e-20
326,1.314487e-06
327,3.0032386e-05
328,1.0
329,5.648708e-10
330,2.683467e-16
331,0.99999905
332,6.4047437e-18
333,0.9997286
334,6.2814636e-18
335,1.487725e-05
336,4.03406e-07
337,0.99997616
338,0.026688188
339,7.768319e-09
340,4.2107172e-16
341,3.240674e-11
342,1.2069455e-12
343,9.803179e-06
344,1.5820903e-13
345,3.5185288e-27
346,9.591067e-18
347,1.0
348,6.09752e-08
349,3.876246e-09
350,1.4605072e-12
351,1.8436909e-06
352,2.559542e-05
353,0.9999975
354,1.3899933e-32
355,0.16818057
356,6.7555166e-28
357,1.3047067e-33
358,3.285163e-20
