Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-RC-A7SF	0	0	0	0	0.14063268761123	0	0.134495840943691	0.0270022124097235	0.0269261411718866	0	0.172950039947707	0	0.184359810857266	0.174319060692838	0.0099685693583995	0	0.0972658603012381	0.0320797767060204	0	0	0	0	0.498	0.0178177691617069	1.23327961577755
TCGA-EP-A2KC	0	0.00328672496275253	0	0.0781832783835269	0.182834922603271	0	0.0781007024975684	0	0.0149705201711761	0	0	0.0562561987168765	0.102327463094317	0.145891734089352	0	0.0885713058986042	0.101704386896199	0.103105568389426	0.0447671942969306	0	0	0	0.368	0.0317812454727281	1.22402999814725
TCGA-ES-A2HS	0	0.0273005851469608	0	0.0588273555866074	0.160171005989166	0	0.0968118698028023	0	0	0	0.0581894994307033	0.0529946057545742	0.172195249693072	0.071438567341434	0	0.12064723908424	0.115742853829944	0.0480505804649085	0.017630587875587	0	0	0	0.451	0.0228874956239008	1.23001630812051
TCGA-CC-5259	0	0	0	0	0.120757453338631	0	0.206536029000756	0	0.0272323984832501	0.0413022470217514	0.026970885793754	0.128255786109762	0.0884801232609111	0.202082710277855	0.0260229199147179	0	0.0519410274802903	0.0166441576423639	0	0.0637742616759575	0	0	0.607	0.00286565142530279	1.24369477001802
TCGA-ED-A97K	0.00783417434625873	0	0	0	0.070575064701791	0	0.0517074038940556	0.0645047132000664	0.0845917317769388	0	0.204578670653869	0	0.131139402455205	0.183152935508655	0	0.0562267577885734	0.0739286599539283	0	0	0.0717604857206584	0	0	0.005	0.113182019637055	1.16578977989601
TCGA-DD-A3A1	0	0.11180562926201	0	0	0.0584758161795012	0.00350951749447509	0.103990692669574	0	0.028463591190221	0.00455351704099459	0.144162625033853	0	0.124922525071689	0.123217453394611	0.0873400134901667	0	0.105692332863361	0	0	0.103866286309543	0	0	0.398	0.0282207295049049	1.22364242775895
TCGA-G3-A6UC	0.0400478552544802	0	0	0	0.0952518983326278	0	0.104484455385548	0	0.0279893042093837	0	0.172476702455249	0.000701261267951412	0.129905373249995	0.175102273291049	0.0138883452777754	0.022059073393079	0.0159013796940281	0.00440079348356005	0.197791284705273	0	0	0	0.433	0.0247872671304484	1.2175297895377
TCGA-DD-AACU	0.0584036782978899	0	0	0.0117612853094672	0.14612165114742	0	0.116099975904398	0	0.01923667648845	0	0.0602977555539876	0	0.224151761560196	0.00306609260991969	0.0191253940844518	0	0.220173208375663	0.117163289649513	0.00439923101864416	0	0	0	0.158	0.0549546591915319	1.21582908197631
TCGA-DD-A1EG	0	0.178995839878048	0	0.0331809016928986	0.0350933320745466	0	0.101377213750047	0	0.0777561024232811	0	0.00914672158552323	0.0403736654838814	0.0879857057052915	0.243875579567248	0	0	0.052417194137481	0.107511784550115	0	0.0322859591516391	0	0	0.019	0.094548684552605	1.19728856820361
TCGA-DD-A4NJ	0	0.123906211058181	0	0	0.0952820028703783	0	0.125759999819308	0	0.0264188650896461	0	0	0.0348723426569006	0.121660666765814	0.117551143639865	0	0.0065659721989402	0.126582962958518	0.183951756056349	0	0.0374480768861006	0	0	0.158	0.0550166471565471	1.21962755544195
TCGA-BD-A3ER	0	0.0521014841196607	0	0	0.0693338142055908	0	0.0968932186402991	0	0.0587309871382275	0	0	0.100867394143404	0.206599328456203	0.195491068264446	0	0.0138302930962173	0.0952118994356927	0.102623970337437	0	0.00831654216282226	0	0	0.214	0.0469494860463226	1.22691925217474
TCGA-G3-A5SL	0.0446702010892835	0	0	0	0.09588773837748	0.0379707567447368	0.0692110426829901	0	0	0.0125963554743925	0.132069314979325	0	0.151113096206849	0.057255337651825	0.0018198723486433	0	0.165407571602251	0.0886266230916634	0.14337208975056	0	0	0	0.214	0.0467431337955156	1.2105381347509
TCGA-DD-A73F	0	0.135544023356601	0	0	0.0895362915704609	0.0083707975863604	0.150508897180951	0	0.0351400574835533	0.114172134893778	0.112857506827712	0	0.144907244351531	0.0970802391113613	0.00711431780638769	0	0.0827807440285251	0.00941502965737511	0	0.0125727161454028	0	0	0.051	0.077945261161038	1.19241344374344
TCGA-CC-A3M9	0	0.0131373225156358	0	0.134316845575567	0.0240645783644448	0	0.125971467950677	0	0.0103345983683098	0.102483179193486	0.104973012807865	0	0	0.136513938419745	0.16350563024539	0.0252723940431639	0.137671658602422	0	0	0.0217553739132948	0	0	0	0.241035558736543	1.09775059163304
TCGA-ED-A627	0	0.0890050181511353	0	0.0183991711398865	0.133468561193069	0	0.133965015659811	0	0	0.125362947281858	0.0151609947856127	0.0100186824255414	0.156964527850454	0.100265045300572	0.0145040731739378	0	0.135058455711598	0.0370926899501977	0	0.0307348173763264	0	0	0.005	0.114016336619035	1.17163261921193
TCGA-CC-A8HT	0	0.0982771541524477	0	0	0	0	0.100122194401054	0	0.041301262477759	0	0.0172082174896482	0.101107832365674	0.169786849807507	0.2370538495916	0	0	0.085348990818276	0.0800332924103996	0	0.0697603564856339	0	0	0.018	0.0959867635506438	1.20291227549852
TCGA-UB-A7MF	0	0.0973924722843769	0	0	0.0870157433214385	0	0.132829808559168	0	0.0228116647804201	0.0858655618756204	0.0503229252673682	0.148364628071097	0.156430223076438	0.0274802237991792	0.114170276230344	0.00605738526405817	0.0687680929111507	0.00249099455933977	0	0	0	0	0.00800000000000001	0.105864291256722	1.17634786675585
TCGA-2Y-A9H1	0	0	0	0	0.156290739139277	0	0.160441126969391	0	0	0.0213019816145834	0.0870014776559791	0.0450644185689347	0.084299018149104	0.0397421339479101	0.1922072393884	0	0.174003333898709	0	0.0206723584490745	0.018976172218637	0	0	0.444	0.0238342511220393	1.2261708169178
TCGA-DD-AADO	0	0.0178187589054854	0	0.0328457540704851	0.115948310267142	0	0.168020111103188	0	0.0486090684149208	0.012856721597903	0.0771621283026201	0.0849633086832043	0.174495959443987	0.137063588626158	0.0137289766173318	0	0.101488309022893	0.0149990049446807	0	0	0	0	0.2	0.0485959953740445	1.21608123397975
TCGA-ZP-A9CV	0	0.089803398017565	0	0.0239694953219074	0.135878318875912	0	0.0679409021706297	0	0.0216273884688923	0	0.0287866844738106	0.09302345692511	0.133873588823602	0.087016208597453	0	0	0.133395647267418	0.104020964895174	0	0.0806639461625252	0	0	0.503	0.0171279263835163	1.2285689567191
TCGA-4R-AA8I	0	0.0550291350773285	0	0	0.0686166881955504	0	0.0651637283570497	0	0	0	0	0.189239205227952	0.100827885346177	0.147374275811351	0	0.112457107807429	0.0722427221763838	0.118040169373619	0.0710090826271589	0	0	0	0.489	0.0191039327263545	1.23626962036123
TCGA-DD-A113	0	0.049105031214934	0	0	0.0917313416909759	0	0.15865820005492	0	0.064310002449855	0	0.04802398815686	0.0478843646834775	0.144284192042349	0.288332946417984	0	0.0111315201715301	0.0478420015789819	0.0418807325415338	0.00681567899659943	0	0	0	0.905	-0.0536976075670703	1.28413839035641
TCGA-DD-AADL	0	0	0	0.0111889329932025	0.0806404268490079	0	0.169268211534585	0	0	0	0	0.0901321894597602	0.211492487994592	0.109541838489275	0.0474903713804151	0	0.222717493125261	0	0.057528048173901	0	0	0	0.377	0.0302401105027246	1.23906043652382
TCGA-RC-A7SK	0.00668361275815488	0	0	0.0418001014174673	0.138358459680354	0.00518294012475484	0.116019160031896	0	0.0604597857812933	0	0	0.0571747396813446	0.199684587407481	0.0846925788554782	0.0333620359402845	0	0.206110947667385	0.0299051427068027	0.0205659079473042	0	0	0	0.619	0.000822711976164773	1.24527893745604
TCGA-DD-AAEA	0	0.0176903535210258	0	0.112090190681806	0.0406124224558722	0	0.156338942233482	0	0.0761418250146711	0	0.0685307192196586	0.0483160191074418	0.120115704733533	0.0482457210853476	0.0337478909764567	0	0.119337841945434	0.158832369025271	0	0	0	0	0.36	0.0324770705543907	1.2302559243499
TCGA-FV-A495	0	0.0324902371916605	0	0.0157475973224009	0.204266456254538	0	0.0915492543823771	0	0	0	0.160624437443197	0	0.0867504425244582	0.118026814447195	0.0896247512081204	0	0.199567857626802	0	0	0.00135215159925101	0	0	0.098	0.066125068268842	1.20112102488941
TCGA-EP-A26S	0	0	0	0	0.08880640961297	0.0417342870694302	0.0953663468554662	0	0.0380939015340399	0	0.127016069496892	0	0.181099006870144	0.0688877702184409	0.0840213791871551	0	0.167465634054244	0	0.107509195101219	0	0	0	0.501	0.0173481406118282	1.22802377787632
