B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB4	2.11744576142973	1.67224272044029	1.59187669032364	1.46955981716449	1.48643624304324	1.59720158632241	1.61468738519467	1.56748875255118	1.6091151891677	1.64450657395162	1.71620760330859	1.48372238285577	1.55792227544472	1.61226475188262	1.82575816355582	1.99580394403915	1.99034778041434	1.50049715895822	1.49301544497838	1.85472134447753	1.732365347642	1.73096442078966
ABCB9	1.73866403938478	1.79374934590318	2.12833233661395	1.8073396863647	1.86055523868308	1.83772114795434	1.87020469983043	1.75846823151806	1.89258626968243	1.77637143138406	1.79217146440137	1.74688877707199	1.78095686647795	1.91603265078366	1.83464547951469	1.87639691791268	1.9977629612064	1.80217677702411	1.91018817619183	1.80362282971133	1.83652539346915	1.85303256375597
ACAP1	2.04629027195401	2.07807985328496	1.87073657145738	2.15877384152009	2.18951624559145	2.1504556048433	2.08247192474186	2.16169669947998	2.19551669206162	2.06742378155876	2.11189677411665	2.09198617870977	2.03620756136008	1.8998897262533	1.84184564910791	1.80008305909184	1.92590177515605	1.81977714218638	1.98113620915404	1.94570133773482	2.13253380369415	2.12219433808624
ACHE	1.73334666261332	1.7494012093335	1.79394551022432	1.71291756278872	1.82386110109282	1.7659161926533	1.71308732725463	1.72980457376851	1.80988974353817	1.8529514154534	1.74944934047254	1.71308732725463	1.74667895289845	1.71633677518931	2.17441479548394	1.89894827892613	1.75005523389187	2.03721405122492	1.71955909640608	1.78240089593055	1.87647338761052	1.79821617172546
ACP5	2.1232992068711	2.1938325757597	2.16236251843087	2.07435717064411	2.13688926162471	2.11770388148058	2.05797306010009	2.13397253018634	2.15288147811597	2.10931700767789	2.08245798683291	2.05491495583359	2.11193656840028	2.2872604393727	2.15916776505956	2.26208654839648	2.28780972274618	2.23151551034605	2.06262512707504	2.07849419800413	2.14612531342722	2.07456477520305
ADAM28	2.19407486547164	2.16384684206235	2.07882169787683	1.79771440499341	1.87537262434358	1.78775296810089	1.73436766056957	1.80768599433918	1.94736093821334	1.80822027702833	2.03741064913906	1.97138255105141	1.92012280117303	1.9133820577323	2.06588903585724	2.08668580827616	1.86628414640145	1.90965099853079	2.00756203248637	1.99219183676691	2.11624099918387	2.00122601811835
ADAMDEC1	2.08877993082571	2.0773333798071	2.00070591777862	1.88868864790018	1.95572320778926	1.89608359675813	1.83998945661556	1.93834653527668	2.01909840641438	2.05235120710409	1.93761754018216	1.89849048522992	1.98308038874399	2.23701105713188	2.26701642663626	2.24251340523125	2.02355989466136	2.1893452528655	2.1356183923943	2.18211908534068	2.02885134400312	2.03377744885616
ADAMTS3	2.01289175081461	1.98285247176475	1.94675273988367	1.8824101943248	1.95348175895291	1.91830804565798	1.91007163799948	1.85960309341192	1.94948229928633	1.93269331343329	1.84383981435271	1.90426299560688	1.91302684113679	1.8912320499039	1.84764613137481	1.85174011649336	1.89922261345461	1.88761972023112	2.12800603432386	2.09540900063021	1.97782192400053	1.99803721121592
ADRB2	2.10822963207696	2.11155027520001	2.07008122019465	2.14891386976636	1.95068185326324	2.12210210326291	2.01078887928792	1.97426295556598	2.04696121805191	2.20500110556764	2.19446364008109	2.20459648982544	2.12948520794273	2.01090672639568	2.14049913788648	2.08719871011718	2.02907981973562	1.95818581453016	2.23876145889272	2.21519030496403	2.19478499144811	2.13610257763003
AIF1	1.80643756783222	1.78105100523357	1.79289698856608	2.13672915286855	2.13457957696221	1.85872195902567	1.87362412428743	1.77123669288972	1.83458071925918	2.16054927361042	1.98256067991494	1.80082007696331	2.26769586377011	2.191083321882	2.18360000904977	2.28045258731265	2.22180151519815	1.8224874441902	2.1913793040937	2.18571339936486	1.90508426712951	2.25303368376783
AIM2	2.07955893955003	2.23781559815202	2.17675752109342	2.0713238981723	1.9177014919045	2.05853571646434	2.22220639356023	2.16212420524766	2.07665274307218	2.09565108691382	1.9633948466642	2.00530336074732	2.11498655299538	2.03212475617115	2.21656648037569	2.0141679705263	2.02973034255364	2.14942520066611	1.97038651665154	1.92723582154724	1.99270051357721	2.14103226890344
ALOX15	1.69628777923382	1.71710317991982	1.63932381802813	1.65405987358179	1.76687218632881	1.69292914837927	1.51828786909009	1.7092548046001	1.79567694102619	1.72568360661023	1.83830397275276	1.65408677763861	1.65457638299798	1.57266552874397	1.52608304521574	2.09956339909324	2.21553744121587	1.83904855210851	1.67903914474934	1.67065925689849	2.08555831643228	1.83781356368768
ALOX5	2.18981373883374	2.20604726795163	2.03596376068238	1.95274345180672	1.94759408672632	2.003585988534	1.92161712962328	1.85808492563263	2.01090391179718	2.10140361975386	2.01928425681333	1.99624089781102	2.19507046454408	2.14057353357051	1.9586694036103	2.05791679003767	1.99348400172941	1.94497195176354	2.12707638221504	2.12161495429451	2.17799852299673	2.21571384194749
AMPD1	2.06269931982196	2.04722632204888	2.21737356518565	1.93409526370882	1.93822667992544	1.96113136188794	1.93790939940696	1.9112406202189	1.95351131696656	1.98985756529804	1.9217184096234	1.92460118793238	1.97533724947946	1.94984665221855	1.92772219508389	1.92325410846595	1.9656819855581	1.92453959078168	1.91594459674341	1.94831282366132	1.99349594855071	2.02816016464549
ANGPT4	1.80051215591457	1.78831779074015	2.05194775087161	1.8888751261743	1.79351418608913	1.88830250968989	1.97669809728803	1.97851222522628	1.83503852978114	1.83407199200472	1.64595976622956	1.81850058252145	1.75202907676818	1.87306037533931	1.78764443133425	1.68985871828686	1.76108661305723	1.69306636124695	1.85197791284831	1.84338592250361	1.72988274790856	1.85702708769741
ANKRD55	2.06862270825	2.04766178872801	1.99245207267264	2.01006627854503	2.19144547446072	2.10056841036431	1.95418196673571	2.16001032349158	1.99767781322239	2.02937954785358	1.95877386691398	1.9648231082771	1.99934308831388	1.99746570288516	1.9732651739035	1.8988709073522	1.98464188371893	2.00466115685807	2.01710257774988	1.98123058644091	2.15949946589293	2.09699556166543
APOBEC3A	1.97945923590354	1.96612384473079	1.97669809728803	1.93114314052056	1.98392950731748	1.90859305653294	1.91909002251116	1.9424119723105	1.86313651664281	2.13498829024079	2.05949010104934	2.0037320823156	2.20581710782562	1.96103719664402	2.23741000244119	2.01447909813365	1.98454028778883	2.21046206777687	1.94322455200736	1.85175371847476	2.16328836960381	2.2477022298382
APOBEC3G	2.17046540033957	2.16317260069629	2.1965773163946	2.19806428156346	2.08153171455086	2.20414688429271	2.18105649778753	2.09169703057136	2.15420639298694	2.24625207513641	2.25343177639017	2.26890293672578	2.14650315071216	2.06705790133427	2.15768974539199	2.0610449624488	2.04158000683452	2.17526722255168	2.12560517428944	2.07938252514074	2.07435559158536	2.10498970165531
APOL3	2.04904361968393	2.114249529415	2.1377690382384	2.1669372697318	2.1523548014861	2.18373362879172	2.16232929771365	2.08468821441714	2.1550635751644	2.16514371543856	2.16511430891018	2.15564041935033	2.15551723761877	2.05468533384973	2.27817985864061	2.10074942089114	2.0479188216861	2.1461908496632	2.06297794772631	1.97532056885078	1.98444277421414	1.98319287663998
APOL6	1.75575985669492	1.68666683362976	1.60907560603116	1.62485786166848	1.6922077618635	1.62462467922693	1.91856777082006	1.59042450176903	1.7121214711938	1.6529203479627	1.70519818081937	2.08865310642507	1.69002920807	1.70867751523049	2.15344145743598	1.6078060358415	1.64068751446715	2.02068066320981	1.80056168272448	1.61856969651349	1.54845273117436	1.77118311781477
AQP9	1.78853266899742	1.73330912425507	1.7393142801727	1.71611367327988	1.72255206760413	1.73081892629604	1.70876573570682	1.76780801941499	1.93098657703613	2.03531006186109	1.97038416735307	1.70129309554978	2.19683085020589	2.23828763292111	2.23529298194772	2.09419081097772	2.16303251236421	2.17776697325626	2.11994979879802	2.19212623862995	2.0013222990552	2.28744815650873
ARHGAP22	1.85671344938658	1.8982777881353	1.8049684068774	1.88976854792915	1.94313478035672	1.79733070149008	1.73703556612652	1.81425104527658	1.84858202057597	1.70010007895954	1.95758035055702	1.82494661848221	1.91304980233284	2.02899314303046	2.08478656199619	2.06541562123386	2.07764223834251	2.21690987527858	1.89433635147321	1.90816915735977	1.95658597024392	1.78171891844823
ARRB1	1.7421292118487	1.73424044990363	1.77053410521474	1.77134865338256	1.76819241032977	1.81297000677437	1.80008305909184	1.7659161926533	1.61081390105127	1.73330548147049	1.91832944135242	2.0083106900684	2.10119026869298	2.08080108398127	2.15204273944953	2.09347322314706	1.88447832629596	1.8489769633821	1.88827767679301	1.84321696060289	1.81794239511109	1.84932344286054
ASGR1	1.87787393143057	1.88272278469732	1.88305656427684	1.69562265399501	1.67368012165483	1.71088555074238	1.61857265878667	1.51279011943353	1.77511176519742	2.07397558078522	1.67363931806122	1.73479000344369	2.15401655464263	1.98526178160303	1.8132670447599	2.01840681629981	1.94933768206821	1.85318715215027	1.91348766637601	1.93371089213078	1.87640977877751	1.94779442625542
ASGR2	1.83868320712088	1.85392761719672	1.85394740274482	1.83649688572556	1.86482917491847	1.88074038149894	1.85606218919846	1.84361449440898	1.98916825338212	2.02475336978431	1.8354519628459	1.83692970071304	2.17894367008806	1.86217335566719	1.81956717469747	2.13826740348634	1.899371711983	1.80287745609941	1.80590281614849	1.78261338422809	1.90509686730379	1.90211801898221
ATHL1	2.08816552837791	2.11494435110386	2.14004556297585	2.14198065801183	2.24553880423648	2.14109127840577	2.05212333590747	2.18874604664651	2.05860459650777	2.04693065957251	2.11923928320924	2.06658377473323	2.03274580875224	1.90753038935768	2.02496175483582	2.00401931928611	1.84249562640165	1.8194977228439	1.94386065165291	1.92425431249923	2.07991418784545	2.16848095642119
ATP8B4	1.99747673799277	1.96290048103167	1.95919390769248	1.93999548597483	1.92313513439236	1.90471161925826	1.95094646069651	1.83310278325881	1.92074168057261	1.9832357867423	2.12405459463812	2.15762314569121	2.04782265684545	1.98286927375306	1.85174011649336	2.16463119428805	2.12708345845051	1.98582395750877	2.18976299921026	2.19843194178328	2.09172378476157	1.97273880054262
ATXN8OS	1.77088406130401	1.75825485706885	2.00319486832189	1.69442188871072	1.68673505165058	1.70246047766418	1.70703186972184	1.699074017542	1.75069855591721	1.81125657807855	1.66506552576255	1.64633037293929	1.66632922849287	1.67665726801751	1.71180985887411	1.68339133599224	1.66509611562279	1.69834212969213	1.79451791134775	1.62780386125087	1.77416776488249	1.73819712344387
AZU1	1.8179986182171	1.86636714065332	1.91241264605417	1.9483872550046	1.65842587322666	1.89011206418249	1.78091268059981	1.69432218381505	1.68988372664546	1.84867487852621	2.09636702849023	1.9937926521521	1.97357560744024	1.90605351674511	2.02305812041081	2.07669788579713	1.92995681498219	1.92142101726781	2.12264202582478	2.1575479333162	1.9900673409346	1.95750967573899
BACH2	2.23676999841088	2.16829694774014	2.01272472961091	2.13439461393293	2.17651366409553	2.10262230652411	2.1015520448121	2.0568386715659	2.10190692374218	2.12232130229342	2.10703080184519	2.11169135633615	1.90719717588747	1.92470053016069	1.95227566620623	1.91609158674393	1.92119029956188	1.95806455566905	1.95309189583066	1.9376532750893	2.03488638253289	2.00411163564809
BANK1	2.26208654839648	2.27027744262692	1.98530887335934	1.82334761332956	1.87380178998454	1.85997593716613	1.50340723763378	1.77053410521474	1.85219093135873	1.91502631963442	1.85035521805992	1.86595070760524	1.96264278128272	1.58540552845142	1.7430555359468	1.83376143353273	1.90051096546755	1.77394982059154	1.95423493440582	1.96938049753745	2.15503689864579	1.87258603797903
BARX2	1.7454754384497	1.79729031104855	1.7323803107814	1.72836171639892	1.71893759098608	1.67494796199478	1.76115570469122	1.7765897901202	2.09430311951899	2.00536552941506	1.77079807589838	1.81809384442114	1.76340814359814	1.75416094770376	1.73826167699147	1.82834499413075	1.79745507633985	1.79145151973837	1.89794094490553	1.81934289293272	1.93327123103332	1.92621411479004
BCL11B	2.02447934470969	2.00476717152967	2.01509264282	2.23384734400406	2.25929660664821	2.2421105649168	2.14476430062315	2.22024391947295	2.21261449730286	2.20934295646122	2.14293024306503	2.11184801213883	1.96432424834549	1.9518390465407	1.9372372975166	1.904859666644	1.9728650282559	1.94973068822623	1.91104688269717	1.90730703020634	2.07452612558944	2.02464267322367
BCL2A1	1.98866944600821	2.076258569569	1.9496379834594	2.1197710432208	2.10321053899026	2.13785361678059	2.16680848579302	2.13274101535255	2.02679407661913	2.09983586183252	2.11547758977912	2.1137514117904	2.2023011571436	2.24750073539868	2.25840929073318	2.03842984946089	2.0060485966916	2.24742282097324	2.14675032315819	2.22188771306339	2.28605956465581	2.26837875004703
BCL7A	2.16112250503686	2.10081265597047	2.04090277558824	1.99410814990084	1.99324425425098	1.95252651322134	1.9075272334828	1.94113966295846	2.03241930569267	1.91089253057975	1.84412425646034	1.92377039145503	1.90990536900817	1.91510556259087	2.00312590499327	2.03388396017271	2.06777051322282	2.04493304194893	2.01887647868445	2.03605249526254	1.95414368260929	1.99569065898526
BEND5	2.11931705590468	2.06388735312387	2.03924066319994	2.02075836668861	2.04790677830832	1.93221485352104	1.90574550986921	1.91186212157851	1.82809457195819	1.91588121954413	1.94718655677831	1.86603579350802	1.91948550303651	1.93563812660604	1.9177673641412	1.90608360519606	1.93406751741614	1.95360707075813	1.91184642049398	1.92911307105008	1.95725302262339	1.97919830188428
