"","StromalScore","ImmuneScore","ESTIMATEScore","TumorPurity"
"TCGA-RC-A7SF",-1007.73145056959,195.10024238029,-812.631208189298,0.884347281573755
"TCGA-EP-A2KC",-833.600266363935,41.9842788948017,-791.615987469133,0.88290300455908
"TCGA-ES-A2HS",-523.935421584659,-85.0949257062941,-609.030347290954,0.870002659841813
"TCGA-CC-5259",-1281.6969093173,466.698915599663,-814.997993717633,0.884509412585459
"TCGA-ED-A97K",-389.941080500967,436.004496096231,46.0634155952633,0.818644947658265
"TCGA-DD-A3A1",-1033.95494937946,790.367499793908,-243.587449585548,0.842315493128723
"TCGA-G3-A6UC",-1202.63593135649,-381.434331682183,-1584.07026303867,0.931433473158631
"TCGA-DD-AACU",-738.742120633949,312.439859223193,-426.302261410757,0.856466620734294
"TCGA-DD-A1EG",-65.5285599158224,1263.23330682824,1197.70474691242,0.710353245335904
"TCGA-DD-A4NJ",-235.491443533311,737.880452460123,502.389008926813,0.778369352391846
"TCGA-BD-A3ER",35.5758299874139,512.931450578758,548.507280566172,0.774101532590753
"TCGA-G3-A5SL",-705.779702793847,-147.996089785923,-853.77579257977,0.887150575404171
"TCGA-DD-A73F",-190.327851292781,1652.82497161897,1462.49712032619,0.682466238734339
"TCGA-CC-A3M9",801.625471425083,2669.97866576262,3471.6041371877,0.440555987137303
"TCGA-ED-A627",669.987009929689,1761.14924468526,2431.13625461494,0.57200366285582
"TCGA-CC-A8HT",-1064.70193036697,709.555738160891,-355.146192206083,0.851028325721434
"TCGA-UB-A7MF",-643.651536518473,1667.62337256524,1023.97183604677,0.728069770004829
"TCGA-2Y-A9H1",-864.676866494889,990.33640419178,125.659537696891,0.811879225283975
"TCGA-DD-AADO",-796.172031877295,1301.75166193567,505.579630058371,0.778075236209437
"TCGA-ZP-A9CV",-218.131330013442,824.487633636259,606.356303622817,0.768698005504056
"TCGA-4R-AA8I",-752.236996018326,80.6619111500403,-671.575084868286,0.874492518021534
"TCGA-DD-A113",-750.622904485629,387.725881011364,-362.897023474265,0.851625220439199
"TCGA-DD-AADL",-1240.01780172425,-439.386512282171,-1679.40431400642,0.936434662157361
"TCGA-RC-A7SK",-1192.83391968068,-472.979687625937,-1665.81360730662,0.935732884055813
"TCGA-DD-AAEA",-1049.92124110998,568.101690076779,-481.819551033199,0.860644820188456
"TCGA-FV-A495",9.71573467389043,1185.65807113282,1195.37380580671,0.710594028035189
"TCGA-EP-A26S",-934.619433014215,-398.825722703593,-1333.44515571781,0.917418359550125
"TCGA-DD-AAEG",-1019.26395963671,-315.068371604838,-1334.33233124155,0.917470172256702
"TCGA-G3-A25S",-1035.77390322283,549.326027724087,-486.447875498747,0.860990567953249
"TCGA-G3-A3CJ",-823.601549062035,145.519964033898,-678.081585028137,0.874955369551067
"TCGA-G3-A3CI",-367.285168465867,848.298252955156,481.013084489289,0.780335410011557
"TCGA-2Y-A9H2",-1020.04945226883,483.375120695135,-536.674331573698,0.864717023725287
"TCGA-DD-A4NG",-875.514130981946,359.512301005748,-516.001829976198,0.863188947151542
"TCGA-K7-A6G5",-406.425504868443,741.586059757157,335.160554888714,0.793544200404378
"TCGA-DD-AADG",-1080.6978438763,-509.997571817382,-1590.69541569368,0.931786935110269
"TCGA-LG-A9QC",-997.482947343868,-503.226579393414,-1500.70952673728,0.926910889265032
"TCGA-DD-AACJ",-1278.08248278502,-122.731589602472,-1400.8140723875,0.921308498992895
"TCGA-DD-A1EA",-928.821007585798,606.875264040936,-321.945743544862,0.848459089575767
"TCGA-LG-A9QD",-816.893700170483,385.600561801849,-431.293138368634,0.856844562217578
"TCGA-ED-A7PY",-1356.76989884267,-352.793773175767,-1709.56367201844,0.937978673670008
"TCGA-NI-A4U2",-496.780778659576,95.816115129049,-400.964663530526,0.854540807655425
"TCGA-DD-A1EK",-389.653855621354,708.46462336212,318.810767740766,0.795002319058207
"TCGA-DD-AADP",-569.989173843175,260.405055533884,-309.584118309291,0.847497326412064
"TCGA-DD-AAVS",-720.775546205581,98.581801967105,-622.193744238476,0.870953717379406
"TCGA-ED-A82E",-424.478501486381,161.535184143853,-262.943317342528,0.843843463957397
"TCGA-CC-A7II",-805.305749270831,-417.041030830943,-1222.34678010177,0.910807329785221
"TCGA-EP-A3JL",-48.0808755785126,1237.36765903199,1189.28678345348,0.711222415917096
"TCGA-DD-A3A4",-899.289686144868,-544.940991941388,-1444.23067808626,0.923767822465012
"TCGA-DD-AACP",-1635.98894586622,-406.250084815599,-2042.23903068181,0.953783809248736
"TCGA-2Y-A9H6",-73.4096338476762,941.646114043463,868.236480195787,0.74354887172338
"TCGA-UB-A7MB",-1286.02839617842,-570.444736280782,-1856.4731324592,0.945236304142281
"TCGA-UB-A7MD",-291.043270199426,824.110186462153,533.066916262727,0.77553435565313
"TCGA-CC-5260",14.2073502149579,600.877703986212,615.08505420117,0.767877853250275
"TCGA-DD-A1EH",-522.956588064167,-194.395227333771,-717.351815397938,0.877731967418172
"TCGA-ED-A4XI",148.391994909954,1033.04630094354,1181.43829585349,0.71203180884776
"TCGA-DD-AADR",-838.354573668513,420.461564097548,-417.893009570964,0.855828778147312
"TCGA-FV-A496",-1329.81335359137,-677.489708007612,-2007.30306159898,0.952230284410998
"TCGA-G3-A3CG",-470.778645148438,344.01085272561,-126.767792422828,0.832949721724389
"TCGA-DD-AACS",-1267.27202716852,-461.255339659098,-1728.52736682762,0.938940110364117
"TCGA-DD-AAVR",316.859029008885,1568.85865783941,1885.7176868483,0.635771517459436
"TCGA-BC-A10T",80.7331199722409,107.181636447803,187.914756420044,0.806510202517686
"TCGA-3K-AAZ8",-1068.75745028752,309.605340360267,-759.15210992725,0.880655406346537
"TCGA-DD-AAVV",10.9231134950081,1328.36974081546,1339.29285431047,0.695572520293934
"TCGA-2Y-A9GS",-560.602600622892,529.171603505902,-31.4309971169906,0.825124665629608
"TCGA-RC-A6M6",-1428.38973226646,-122.418928993189,-1550.80866125965,0.929645609973101
"TCGA-G3-AAV6",-1109.02309832592,-416.577291173915,-1525.60038949983,0.92827586157516
"TCGA-CC-5263",-841.52108445539,538.342007107335,-303.179077348055,0.846997901653304
"TCGA-ZS-A9CE",-1223.57903277842,-591.750916843128,-1815.32994962155,0.943247916693035
"TCGA-DD-A4ND",552.075801755952,1025.05649376108,1577.13229551703,0.670070975042886
"TCGA-DD-AAVX",-515.427090159491,843.107568228386,327.680478068895,0.794211861788009
"TCGA-DD-A4NE",-763.665314519716,-318.859272668893,-1082.52458718861,0.902143022819724
"TCGA-2Y-A9HB",-282.213483996935,821.081824896438,538.868340899502,0.774996466328644
"TCGA-DD-A39Y",-1233.4275049269,-60.8480850047939,-1294.2755899317,0.91511528881131
"TCGA-CC-A5UC",-309.265803747111,299.035359736637,-10.2304440104747,0.823362549118705
"TCGA-DD-AACB",-713.09618437869,1296.32738021396,583.231195835275,0.770864733658489
"TCGA-HP-A5N0",125.695013324191,467.318895544413,593.013908868604,0.769949215945584
"TCGA-ED-A8O6",-985.358386016596,-94.7532924053996,-1080.111678422,0.901990156819146
"TCGA-ZS-A9CF",-875.93684358605,281.19667592259,-594.740167663461,0.868966515046943
"TCGA-2Y-A9H4",-800.281224887946,466.103085337772,-334.178139550174,0.849408048462508
"TCGA-DD-A116",-684.447710564299,359.513755086158,-324.93395547814,0.848691160251318
"TCGA-G3-A7M5",-975.985942835931,246.156515212167,-729.829427623764,0.878608094423603
"TCGA-BC-A112",-312.106626667696,396.982119282894,84.8754926151972,0.815359799412193
"TCGA-DD-A4NV",-263.581429210957,145.611331217347,-117.97009799361,0.832234433160829
"TCGA-DD-AAE6",-1638.71329546776,-966.865761016535,-2605.5790564843,0.975344761054437
"TCGA-CC-A7IL",-1585.02446722401,-576.412273837538,-2161.43674106155,0.95889523929509
"TCGA-5C-AAPD",-308.578163094912,1597.06624545809,1288.48808236318,0.700911050154285
"TCGA-DD-AAC9",90.2667323547639,998.59705243236,1088.86378478712,0.721507158486939
"TCGA-MI-A75C",-1461.05714033671,501.545927306448,-959.511213030261,0.89420594479953
"TCGA-FV-A23B",-692.216938626427,381.676199713218,-310.540738913209,0.847571853373761
"TCGA-DD-AAVY",-1197.90778738288,-404.924015182673,-1602.83180256555,0.932432143788126
"TCGA-DD-A3A6",604.4012644339,1199.88797440618,1804.28923884008,0.644951940246383
"TCGA-DD-AADD",-1503.05215941545,-204.886632904972,-1707.93879232042,0.937895956042655
"TCGA-G3-A25U",-1112.67555906899,-322.649181636506,-1435.3247407055,0.923266403254033
"TCGA-DD-AAE2",-273.964904114416,802.638070561607,528.673166447192,0.775941355673518
"TCGA-DD-AAW3",-966.956166484887,-425.857031333699,-1392.81319781859,0.920851205092415
"TCGA-DD-AA3A",-1475.97458369171,-124.899166639191,-1600.87375033091,0.932328247693717
"TCGA-XR-A8TD",320.293831828298,1771.45403005101,2091.74786187931,0.612140588583117
"TCGA-BC-A10S",-37.9293358907384,1042.8747250701,1004.94538917936,0.729981443182965
"TCGA-T1-A6J8",-556.128988350077,95.2442041337116,-460.884784216366,0.859075979478993
"TCGA-KR-A7K0",-582.264940547621,203.293199397569,-378.971741150052,0.852859626317324
"TCGA-DD-A4NK",-751.025372788378,-185.445334850029,-936.470707638407,0.892686826227734
"TCGA-DD-A3A9",-123.118841675722,745.695640319153,622.57679864343,0.767172924586302
"TCGA-K7-A5RG",-227.936005931126,2322.13852032224,2094.20251439111,0.611855630529495
"TCGA-DD-A4NR",127.707695836761,2148.81448404162,2276.52217987838,0.590470806157325
"TCGA-FV-A4ZP",-751.366062307469,1121.08571585034,369.719653542872,0.790447094803838
"TCGA-DD-AACW",-1133.05780369468,48.3272529209477,-1084.73055077373,0.902282679108486
"TCGA-DD-A1EC",-222.815385811733,2269.52839269204,2046.71300688031,0.617354495801182
"TCGA-WJ-A86L",-1388.88977201873,-257.424138158266,-1646.31391017699,0.934719481577245
"TCGA-DD-AAEK",-209.523832924481,1382.44824451239,1172.92441158791,0.712908753642695
"TCGA-FV-A4ZQ",-982.83568010601,1615.2342974449,632.398617338892,0.76624734442447
"TCGA-5C-A9VH",-343.180254803224,-35.4801543300168,-378.66040913324,0.852835763653839
"TCGA-DD-AACA",-1071.1765911674,-327.705128017355,-1398.88171918475,0.921198170769572
"TCGA-FV-A2QQ",-492.361258371117,746.972675694447,254.61141732333,0.800683422752698
"TCGA-2Y-A9GX",655.396871161731,1545.4190339996,2200.81590516133,0.599402849628746
"TCGA-G3-AAUZ",-428.638188378943,905.080631558991,476.442443180049,0.780754799901563
"TCGA-DD-AACK",-1086.58034721646,37.7821029586506,-1048.79824425781,0.899996088372271
"TCGA-DD-A3A5",-677.889163219103,15.4794534875264,-662.409709731577,0.873839169502812
"TCGA-DD-AACY",-786.674298090474,207.690190495378,-578.984107595096,0.867819651206231
"TCGA-BD-A3EP",110.391633206236,1344.50216822692,1454.89380143316,0.683281574770808
"TCGA-BC-A10Q",-731.053143501227,117.730018626505,-613.323124874722,0.870313170798645
"TCGA-CC-A7IF",-1136.03666437394,-457.369224961535,-1593.40588933547,0.931931288998101
