,RS,HLA-A****,HLA-B****,HLA-C**,HLA-DPA1****,HLA-DPB1****,HLA-DQA1****,HLA-DQB1****,HLA-DQA2****,HLA-DQB2****,HLA-DRA****,HLA-DRB1****,MICA*,MICB****,ICAM1****,ITGB2****,SELP,BTN3A1,BTN3A2*,CD274*,CD276****,PDCD1LG2*,SLAMF7****,VTCN1****,CD28***,CD80****,ICOSLG,CCL5****,CD40LG**,CD70***,CX3CL1,CXCL10,CXCL9,IFNG**,IL10****,IL12A****,IL13,IL1A****,IL1B****,IL4***,TGFB1****,TNF****,TNFSF4*,TNFSF9****,VEGFA****,VEGFB****,ARG1,ENTPD1****,GZMA***,HMGB1,IDO1,PRF1,ADORA2A*,BTLA,CD27**,CD40,CTLA4****,EDNRB****,HAVCR2****,ICOS****,IL2RA****,KIR2DL1,KIR2DL3,LAG3**,PDCD1****,TIGIT***,TLR4,TNFRSF14****,TNFRSF18****,TNFRSF4****,TNFRSF9
TCGA-DD-A4NF,-0.193323003,8.481167332,8.446831869,8.530308398,5.045228892,4.108415728,1.843260306,2.233704031,3.812662509,1.988811911,8.102038156,6.405498901,2.57080292,1.577489254,3.67535302,2.064503508,0.376623787,3.197912558,3.024603367,1.069152202,3.690629405,0.94673086,0.377623538,0.054084393,0.320311371,0.075874867,0.402722177,2.652188173,0.087462841,0,4.45821137,1.418837598,1.160920188,0.067363367,0.024035935,0.198996966,0,0.119024103,0.79110557,0,3.322216605,0.271186602,1.210077099,0.19105724,4.293753033,2.651866835,3.460637732,1.286585483,1.585491392,5.731191389,0.804218807,1.864572463,1.138159145,0.383386346,0.336283388,2.326249701,0.112499976,3.447777537,1.031677496,0,0.121148056,0,0.101246657,0.339137385,0.220949004,0.105678078,1.724431996,3.36072947,0.064193062,1.971663103,6.303660214
TCGA-DD-AADG,-0.033182867,8.987576112,8.768074133,8.850675989,2.817623258,4.002882509,2.422771219,3.070234745,0.789604066,0.382501257,6.884685828,6.52758022,3.743999591,1.894332742,3.504010137,1.971589536,0.809743695,3.970522385,3.544806829,0.627046459,4.264153563,0.590530164,0.560030123,0,0.270229907,0.024886999,0.780897977,3.625095111,0.042924445,0.051720116,4.801432887,4.327730472,2.633245194,0.127369147,0.023326332,0.118758389,1.774291583,0,0.152507948,0.095181789,4.808003989,0.093019233,0.746054735,0.095451881,4.59918685,2.101683689,7.291025156,1.297367523,2.373147044,5.513433896,0.983896545,2.221444053,1.295370388,0.065572312,0.326192164,4.883635478,0.073546061,3.608312492,0.654802126,0.089226942,0.020199923,0.179128829,0.049770152,0.9644356,0.278936315,0.186120184,0.841329095,4.388809473,0.569393872,1.318172203,0.178873958
TCGA-DD-A3A5,0.048533025,9.767835521,9.874830156,10.21184608,4.527070336,4.567387249,2.451250682,4.238037809,0,0.363451457,7.84461476,8.032758768,3.08491466,1.435895241,3.876762491,2.372283513,0.751635103,3.522244111,3.592385274,0.969012308,4.908395023,0.686971077,0.805044761,0.060185765,0.425674135,0,0.058524312,5.148043327,0.43103453,0.059493725,4.804869286,3.52133975,1.633198686,0.074779426,0.026870865,0.337882322,0.123401336,0.13211616,0.378511623,0,3.395419315,0.106884289,0.475603745,1.152767519,5.394421535,4.416860004,10.9302482,1.175556536,3.896291227,5.464687869,0.077926579,2.252355101,0.823341762,0.025595836,1.328893895,6.448405435,0,3.251052497,1.00273852,0.228480098,0.197236355,0.105946212,0.112366523,1.535605098,0.663845547,0.362666256,0.946880548,4.405216362,1.334625479,1.998484374,0
TCGA-DD-AAW1,0.049525241,9.311371417,9.685681951,9.596486093,3.414392651,4.040717123,2.274858001,2.121943734,3.350355799,1.624849544,8.088601166,7.626124425,2.573689597,1.285698126,5.327090908,2.490852481,0.714135594,3.809599657,3.506195692,0.894138688,4.178555307,0.760859637,0.578600636,0.317535622,0.809414444,0.128029389,0.037874166,2.362413779,0.280481274,0,3.901484801,6.207199832,3.88397265,0.057970069,0.061154063,0.29713271,0,0,0.356819915,0,2.765195249,0.122738972,0.849759124,0.542010356,4.342227599,2.155263504,3.221505922,1.003098465,2.017636903,5.443278428,0.541713066,1.992369641,1.166586914,0.058385771,0.499067738,3.741402266,0.065434446,3.51421065,1.058385771,0.027012465,0.278698482,0.041803688,0.129085148,0.679333711,0.221320307,0.102187793,1.31342001,3.474085548,0.392537245,1.027507957,1.883347108
TCGA-DD-A11B,0.056871645,7.857520752,8.410251205,8.785397538,4.217238473,3.886891515,2.338167659,2.98194396,2.091259766,1.034638318,7.131594629,6.35534581,2.939715544,2.325789346,4.48377709,2.342611633,1.880215324,3.62871528,2.967887931,0.7031007,4.968169107,1.221010895,0.566961242,0.070526721,0.751378022,0.066537002,0.755058478,2.947684857,0.926986188,0.092342769,2.831715132,7.734241515,1.96823824,0.170309669,0.021053252,0.036890111,0,0,0.244765308,0.086376168,2.981158532,0.164271398,2.084744621,0.168385305,4.156938577,4.02708326,9.086996011,1.875583497,2.448874528,6.131025564,1.249566698,1.820117678,1.001441974,0.258458623,0.467383831,3.686859055,0.066674763,3.691991913,1.061154063,0.13251104,0.10648233,0,0.045163352,2.039770093,0.470823163,0.137110008,2.213627239,3.286866366,0.162725653,0.977756163,0.022758398
TCGA-DD-AAEB,0.062180255,8.12123096,7.712831671,7.925893823,2.972747788,4.203255981,1.885964757,1.663936606,2.216423822,1.082021269,6.18152798,6.206904954,3.288402861,0.510556895,1.355411006,1.791855737,0.457121458,1.967500647,2.588108951,0.441589712,3.451290252,0.246225649,0.3305584,0,0.327457434,0.098150021,0.133432007,4.109895411,0.279530726,0.244765308,3.851149355,3.547054922,2.210014738,0,0,0.041102772,0.028003278,0,0.026870865,0,2.456595905,0.094100916,0.542802827,0.465608848,3.149259365,2.618356134,6.94603484,1.298247734,2.386921282,4.67331897,0,1.540919995,1.028356976,0.022474347,0.174278571,2.065779085,0.426211072,2.472409786,0.739243253,0.060739158,0.040682059,0.047398789,0.050327554,1.50217782,0.216485907,0.301236441,0.575312331,3.811984719,1.109226816,1.93561061,0.351628329
TCGA-G3-A5SL,0.096740392,9.78991652,9.97335125,11.20655862,5.115095685,4.163329657,3.441656104,3.293282189,2.09362778,1.365020579,7.879357179,7.439738648,4.120609068,0.940805718,3.458355754,2.608525406,0.23572706,4.260070834,3.011567199,0.515207819,4.012738497,0.753433388,0.65250944,0.130271955,0.495388174,0.123003954,0.085696581,4.075746538,0.716508087,0.128821281,3.669128839,6.225911137,4.347963235,0.055612157,0.096666669,0.101784524,0,0.066537002,0.192194165,0.081475982,2.755314904,0,0.530969649,0.689209688,4.159992397,1.9644356,7.709569111,1.368097822,1.871488844,5.775924956,0.927289674,2.445514838,0.386369519,0.074231394,0.282499113,4.147957881,0.439676323,4.900755734,1.286289758,0.283803271,0.37928825,0.040120917,0.042504263,0.458591988,0.240985904,0.366811773,0.899098272,3.244034582,0.711318689,1.350270924,0.378511623
TCGA-DD-A3A8,0.127460884,9.422426656,10.04305272,10.01138801,3.609305823,3.210451209,0.837458899,1.231125158,2.772413555,0.952855377,6.423194925,5.439533382,3.050623586,0.858378925,4.02127539,2.79935675,0.790271594,3.39567979,2.893401045,0.560421495,4.142282723,0.341758085,0.712639798,0.025595836,0.18027519,0.047817548,0.049351959,3.326753046,0.082021269,0.145612247,4.576854657,5.432264609,4.000685117,0,0.150949541,0.039419183,0,0.075464174,0.260627908,0,3.975996958,0.090311471,0.917164388,1.410015403,3.873291529,2.318085413,6.532695664,0.869476634,1.847756437,5.309605497,1.252233978,2.990591873,0.838830781,0,0.21896711,2.65200456,0.235359447,3.22119655,0.786679994,0.029417547,0.202135581,0.21424917,0.140255134,0.564134243,0.14182513,0.146264195,0.749577172,4.061309622,0.95419631,2.98550043,0.537842721
TCGA-G3-AAV2,0.160988616,9.532599049,9.48393687,9.438371872,5.485027455,5.357478109,3.154761413,3.554809843,1.909657914,2.425217582,8.308937374,8.028548709,2.538786455,0.953823954,3.912506163,3.05509151,0.45132982,3.872089989,3.638131776,0.482435288,3.958796286,0.655351829,0.532067552,0,0.630964547,0,0.239886801,2.788226313,0.249506021,0.156008221,4.576225829,4.174494307,1.656450606,0.194465332,0.071488106,0.083519749,0.028852006,0.08106688,0.207767938,0,3.495886998,0.230940776,1.466862004,0.050606174,4.552838138,3.545523634,1.422448312,1.211635253,1.89956236,5.620387,1.171719239,2.732421168,0.713343895,1.421425296,0.287354085,3.466379146,0.14912927,3.673601649,1.501821265,0.031677496,0.179256247,0.04879418,0.150299708,0.405012083,0.115565996,0.205392513,1.031677496,4.293878075,0.674370254,3.183692939,3.934120154
TCGA-RC-A7SK,0.172153937,10.19056264,9.996154549,10.36649303,3.583049662,3.422434856,1.475655621,1.53490824,1.97929371,1.344998884,6.278813687,5.783794501,4.054284136,1.709467101,3.338438678,2.485375301,0.640435837,3.405679288,3.728758607,0.250840334,5.104445697,0.032665112,0.477159211,0.684818738,0.155878733,0.02474519,0.322620422,3.672119798,0.164013889,0.196229326,3.334582577,2.203013171,1.524565221,0.064882852,0.023184369,0.155749233,0,0,0.052415894,0.094911647,6.024760701,0.262192588,2.101112158,0.423309237,4.529052554,6.192423021,9.0403163,1.104269556,2.316261617,5.565463135,0.022900402,1.148738913,1.244826185,0.022048165,0.946581156,5.439500138,0.420617139,2.84809709,0.700084549,0.326882449,0.153805336,0,0,1.622368152,0.278103728,0.275483893,1.432852537,5.396728069,0.766807151,1.257915791,0.097880434
