"","row","column","cor","p","p_value"
"1","RS","HLA-A",0.348259132835164,7.5861539272637e-12,"****"
"2","RS","HLA-B",0.237044169653387,4.68079014748213e-06,"****"
"4","RS","HLA-C",0.13765714013837,0.0084518957033155,"**"
"7","RS","HLA-DPA1",0.237697556221497,4.39854807132711e-06,"****"
"11","RS","HLA-DPB1",0.296922890787754,7.28550442197218e-09,"****"
"16","RS","HLA-DQA1",0.270761397287346,1.49154709250254e-07,"****"
"22","RS","HLA-DQB1",0.237224713045101,4.60111993771939e-06,"****"
"29","RS","HLA-DQA2",0.246796631848325,1.81592216930149e-06,"****"
"37","RS","HLA-DQB2",0.328536831967177,1.23767662785212e-10,"****"
"46","RS","HLA-DRA",0.259677200871732,4.88776134899283e-07,"****"
"56","RS","HLA-DRB1",0.277148529734631,7.34364291599121e-08,"****"
"67","RS","MICA",0.133246415767806,0.0108246174134132,"*"
"79","RS","MICB",0.207564717946924,6.45538259878009e-05,"****"
"92","RS","ICAM1",0.424449978907076,0,"****"
"106","RS","ITGB2",0.416653925839038,0,"****"
"121","RS","SELP",-0.0351233040295855,0.503537240667027,NA
"137","RS","BTN3A1",0.0563061230967755,0.283321144595477,NA
"154","RS","BTN3A2",0.133536775492006,0.010651972266877,"*"
"172","RS","CD274",0.111867618224186,0.0326299139859159,"*"
"191","RS","CD276",0.30291745754699,3.48973183683654e-09,"****"
"211","RS","PDCD1LG2",0.127796420042526,0.0145577367130361,"*"
"232","RS","SLAMF7",0.247444881851181,1.70273199873172e-06,"****"
"254","RS","VTCN1",0.230367223219476,8.74826028152142e-06,"****"
"277","RS","CD28",0.191225951516733,0.00023803288321611,"***"
"301","RS","CD80",0.302255948063101,3.78814979384856e-09,"****"
"326","RS","ICOSLG",-0.02991767686624,0.568851735582764,NA
"352","RS","CCL5",0.220930854862007,2.05210479420348e-05,"****"
"379","RS","CD40LG",0.148948748745882,0.00434689235948582,"**"
"407","RS","CD70",0.193924416727611,0.000193266358833322,"***"
"436","RS","CX3CL1",-0.0177557322749303,0.735298465592837,NA
"466","RS","CXCL10",0.0117921013982294,0.822350500044806,NA
"497","RS","CXCL9",0.0888845581786372,0.0899483851694298,NA
"529","RS","IFNG",0.142914925084306,0.00623663494561977,"**"
"562","RS","IL10",0.213925787014413,3.77509212614591e-05,"****"
"596","RS","IL12A",0.266962299815036,2.25397714714859e-07,"****"
"631","RS","IL13",-0.0855418082111187,0.102751079989231,NA
"667","RS","IL1A",0.250317780273942,1.27744233213711e-06,"****"
"704","RS","IL1B",0.421550910802575,0,"****"
"742","RS","IL4",0.194813518202467,0.000180333373414943,"***"
"781","RS","TGFB1",0.359262243930537,1.46416212487566e-12,"****"
"821","RS","TNF",0.263676634918569,3.20484696114676e-07,"****"
"862","RS","TNFSF4",0.103381521183891,0.0484252427769341,"*"
"904","RS","TNFSF9",0.425174465963351,0,"****"
"947","RS","VEGFA",0.209193140116557,5.6356229642951e-05,"****"
"991","RS","VEGFB",0.416187862147957,0,"****"
"1036","RS","ARG1",-0.0779031294594004,0.137413952734512,NA
"1082","RS","ENTPD1",0.252025703159823,1.07503295132538e-06,"****"
"1129","RS","GZMA",0.177431824889347,0.000661009421144776,"***"
"1177","RS","HMGB1",-0.000249304817709044,0.996212755700382,NA
"1226","RS","IDO1",0.070396871474129,0.179601652627305,NA
"1276","RS","PRF1",0.0511670961904454,0.329643784401533,NA
"1327","RS","ADORA2A",-0.104464839533566,0.0461070355027045,"*"
"1379","RS","BTLA",0.0523366402084657,0.318694645062938,NA
"1432","RS","CD27",0.159980163933137,0.00217159882223017,"**"
"1486","RS","CD40",0.0760859921507944,0.146852698855125,NA
"1541","RS","CTLA4",0.297226574366908,7.02167524124775e-09,"****"
"1597","RS","EDNRB",-0.26693687843804,2.26016459770051e-07,"****"
"1654","RS","HAVCR2",0.452811971659425,0,"****"
"1712","RS","ICOS",0.205712281795281,7.52420869536419e-05,"****"
"1771","RS","IL2RA",0.33648661284879,4.11288780810537e-11,"****"
"1831","RS","KIR2DL1",0.010611287629591,0.83988648358444,NA
"1892","RS","KIR2DL3",0.0551457840500814,0.293375867364963,NA
"1954","RS","LAG3",0.169683314193789,0.0011366990311994,"**"
"2017","RS","PDCD1",0.213032684402924,4.07439615981442e-05,"****"
"2081","RS","TIGIT",0.190432098379316,0.000252942976948001,"***"
"2146","RS","TLR4",0.0879067774880774,0.0935534833746998,NA
"2212","RS","TNFRSF14",0.396546075974151,3.5527136788005e-15,"****"
"2279","RS","TNFRSF18",0.504505145382415,0,"****"
"2347","RS","TNFRSF4",0.349560822314744,6.26521057256468e-12,"****"
"2416","RS","TNFRSF9",0.0691523998172269,0.187436174286924,NA
