Rank	Score	Type	ID	Name	Description
3	99.68	cp	BRD-K06817181	BRD-K06817181	JAK inhibitor
5	99.51	cp	BRD-K90382497	GW-843682X	PLK inhibitor
10	99.22	cp	BRD-A15079084	phorbol-12-myristate-13-acetate	PKC activator
11	99.19	cp	BRD-A52650764	ingenol	PKC activator
21	98.09	cp	BRD-K91145395	prostratin	PKC activator
27	97.85	cp	BRD-K28120222	parthenolide	NFkB pathway inhibitor
30	97.71	cp	BRD-A03816571	CP-55940	Cannabinoid receptor agonist
39	97.46	cp	BRD-K19894101	MST-312	Telomerase inhibitor
40	97.43	cp	BRD-M30523314	vinorelbine	Tubulin inhibitor
52	96.93	cp	BRD-K53665955	MK-5108	Aurora kinase inhibitor
61	96.05	cp	BRD-K91623615	ABT-751	Tubulin inhibitor
68	95.44	cp	BRD-K80431395	triciribine	AKT inhibitor
74	94.37	cp	BRD-K86003836	flubendazole	Tubulin inhibitor
82	93.69	cp	BRD-A43150328	penicillic-acid	other antibiotic
87	93.41	cp	BRD-K98548675	parthenolide	NFkB pathway inhibitor
90	92.93	cp	BRD-K76872913	benzanthrone	Aromatic hydrocarbon derivative
91	92.92	cp	BRD-A54927599	KF-38789	P-selectin inhibitor
92	92.9	cp	BRD-K22096725	ALW-II-49-7	Ephrin inhibitor
95	92.71	cp	BRD-K34092021	arvanil	TRPV agonist
96	92.67	cp	BRD-K03557653	sappanone-a	Tyrosinase inhibitor
110	91.07	cp	BRD-K84895041	BMY-45778	IP1 prostacyclin receptor agonist
114	90.89	cp	BRD-K47983010	BX-795	IKK inhibitor
116	90.7	cp	BRD-A50157456	terbutaline	Adrenergic receptor agonist
123	90.17	cp	BRD-K92991072	PAC-1	Caspase activator
124	90.13	cp	BRD-K28168037	fenretinide	Apoptosis stimulant
135	89.33	cp	BRD-A17819071	gedunin	HSP inhibitor
144	88.63	cp	BRD-A51393488	noscapine	Bradykinin receptor antagonist
153	87.57	cp	BRD-K62012036	acitretin	Retinoid receptor agonist
154	87.55	cp	BRD-K82731415	olomoucine	CDK inhibitor
165	86.42	cp	BRD-K92301463	16,16-dimethylprostaglandin-e2	Prostanoid receptor agonist
173	86.01	cp	BRD-K94325918	kinetin-riboside	Apoptosis stimulant
178	85.77	cp	BRD-K99498722	NPI-2358	Tubulin inhibitor
179	85.76	cp	BRD-K20152659	gamma-homolinolenic-acid	Cholesterol inhibitor
180	85.73	cp	BRD-K72895815	SSR-69071	Leukocyte elastase inhibitor
186	85.26	cp	BRD-K25504083	cytochalasin-d	Actin polymerization inhibitor
190	84.18	cp	BRD-K29359156	ebselen	H+/K+-ATPase inhibitor
194	84.04	cp	BRD-A34205397	suloctidil	Adrenergic receptor antagonist
195	84.03	cp	BRD-A22769835	homochlorcyclizine	Antihistamine
199	83.57	cp	BRD-K02526760	QS-11	ARFGAP inhibitor
200	83.5	cp	BRD-A25775766	securinine	GABA receptor antagonist
202	83.44	cp	BRD-A52282606	lacidipine	Calcium channel blocker
204	83.25	cp	BRD-K19309090	SR-95639A	Acetylcholine receptor agonist
207	83.03	cp	BRD-K40645748	mefloquine	Adenosine receptor antagonist
218	81.94	cp	BRD-K82484965	carmoxirole	Dopamine receptor agonist
219	81.86	cp	BRD-K15600710	obatoclax	BCL inhibitor
221	81.81	cp	BRD-K60476892	YC-1	Guanylyl cyclase activator
229	81.23	cp	BRD-K32828673	chelidonine	Tubulin inhibitor
232	80.91	cp	BRD-A30435184	metergoline	Dopamine receptor agonist
233	80.8	cp	BRD-K17896185	FIT	Opioid receptor agonist
235	80.4	cp	BRD-A55594068	vinblastine	Microtubule inhibitor
240	80.12	cp	BRD-K53123955	niridazole	Phosphofructokinase inhibitor
241	80.1	cp	BRD-A42423104	benproperine	Antitussive
242	80.1	cp	BRD-K80396088	gliquidone	Sulfonylurea
243	80.07	cp	BRD-K28360340	TW-37	BCL inhibitor
245	80.02	cp	BRD-K73395020	SA-1478088	-666
246	79.68	cp	BRD-K76907295	VU-0418947-2	HIF modulator
248	79.63	cp	BRD-K64517075	heliomycin	ATP synthase inhibitor
253	79.11	cp	BRD-K70881766	solanine	Acetylcholinesterase inhibitor
254	79.1	cp	BRD-A24429032	HEAT	Adrenergic receptor antagonist
260	78.52	cp	BRD-K51290057	SA-792709	Retinoid receptor agonist
261	78.51	cp	BRD-K59184148	SB-216763	Glycogen synthase kinase inhibitor
266	78.25	cp	BRD-K99411983	lumicolchicine	Colchicine isomer, non-binder of microtubules
271	77.55	cp	BRD-K33583600	isoliquiritigenin	Guanylate cyclase activator
273	77.52	cp	BRD-K29673530	hypericin	Tyrosine kinase inhibitor
276	77.29	cp	BRD-A56020723	CA-074-Me	Cathepsin inhibitor
278	77.26	cp	BRD-K31238592	devazepide	CCK receptor antagonist
