"","x"
"1","SPP1"
"2","S100P"
"3","SPINK1"
"4","S100A9"
"5","CRP"
"6","LCN2"
"7","AKR1B10"
"8","CCL20"
"9","CXCL1"
"10","FDCSP"
"11","NQO1"
"12","SFN"
"13","PLA2G2A"
"14","CA9"
"15","CXCL8"
"16","TRNP1"
"17","LGALS3"
"18","MMP7"
"19","SLC1A5"
"20","PKIB"
"21","AGR2"
"22","CD24"
"23","PHLDA2"
"24","APOA4"
"25","MMP9"
"26","AP1M2"
"27","S100A6"
"28","CXCL5"
"29","G6PD"
"30","S100A11"
"31","TMSB10"
"32","PKM"
"33","SELENOM"
"34","CLDN4"
"35","VNN2"
"36","S100A8"
"37","GPX2"
"38","EPO"
"39","EPS8L3"
"40","REG1A"
"41","KRT23"
"42","TFF2"
"43","PTGES"
"44","TREM2"
"45","MUC13"
"46","SPINT1"
"47","B3GNT3"
"48","GCNT3"
"49","TMC5"
"50","SLC16A3"
"51","KRT19"
"52","SPHK1"
"53","C9"
"54","SLC6A8"
"55","LY96"
"56","NNMT"
"57","HKDC1"
"58","MYBL2"
"59","CXCL6"
"60","CAPG"
"61","S100A14"
"62","MISP"
"63","MSC"
"64","RENBP"
"65","UCHL1"
"66","SULT1C2"
"67","PI3"
"68","RAP1GAP"
"69","MMP12"
"70","CTHRC1"
"71","S100A4"
"72","TIMP1"
"73","IL4I1"
"74","PLBD1"
"75","CDC20"
"76","GOLM1"
"77","TMEM92"
"78","TTC39A"
"79","IMPDH1"
"80","NXPH4"
"81","SNCG"
"82","LAPTM4B"
"83","TESC"
"84","AFP"
"85","PLPP2"
"86","EGLN3"
"87","DUSP9"
"88","HK2"
"89","NTS"
"90","LIF"
"91","PLEK2"
"92","FCGBP"
"93","SLC38A1"
"94","SMOX"
"95","HMOX1"
"96","VNN1"
"97","HSPB8"
"98","PRAME"
"99","LGALS3BP"
"100","MAPK13"
"101","C12orf75"
"102","ETV4"
"103","UAP1L1"
"104","RGS2"
"105","SAA1"
"106","C2CD4A"
"107","GAL3ST1"
"108","SEL1L3"
"109","LPCAT1"
"110","BCL2A1"
"111","LBP"
"112","IER3"
"113","TINAG"
"114","ICAM1"
"115","PPP1R14D"
"116","SERPINE1"
"117","HMGA1"
"118","PTP4A3"
"119","CD44"
"120","ST6GALNAC4"
"121","RAB3IL1"
"122","CIDEC"
"123","KDELR3"
"124","RGS1"
"125","DAB2"
"126","BPIFB2"
"127","KCTD17"
"128","BAIAP2L2"
"129","UPK3A"
"130","ENO2"
"131","LY6E"
"132","PAFAH1B3"
"133","PAEP"
"134","VEGFB"
"135","GPC3"
"136","TMEM54"
"137","FUT6"
"138","LOXL4"
"139","SLC52A2"
"140","NDRG1"
"141","TRIM47"
"142","CHI3L1"
"143","ADM2"
"144","EPCAM"
"145","SGPP2"
"146","CLIC3"
"147","TMC6"
"148","DSG2"
"149","PLTP"
"150","KIF2C"
