"","Drug","r","p.value"
"1","AT13148_2170",0.162533469225587,0.00185933157920334
"2","VE821_2111",-0.178962447837364,0.000603299142405064
"3","GSK591_2110",-0.088458206962586,0.0914996921272155
"4","AZ6102_2109",0.0262882412893641,0.61649408256421
"5","LJI308_2107",0.0974897772337701,0.0628241143293436
"6","Uprosertib_2106",0.223093210405135,1.77883550549437e-05
"7","VX-11e_2096",-0.26962980877196,1.88707558448064e-07
"8","Vinorelbine_2048",-0.288867611167184,2.21586674933912e-08
"9","Ulixertinib_2047",-0.116675015978856,0.0258599602589063
"10","MK-8776_2046",-0.188742248095493,0.000294459866589114
"11","AMG-319_2045",-0.0313856814642802,0.549858631097079
"12","Pyridostatin_2044",0.0340378014081136,0.516646917988386
"13","BIBR-1532_2043",0.091614493747887,0.0804739880630229
"14","Foretinib_2040",-0.055374448143368,0.291226903561878
"15","BPD-00008900_1998",-0.270320786332464,1.75210952340649e-07
"16","WEHI-539_1997",-0.126101183792628,0.0159790539365585
"17","MIM1_1996",-0.161886418095715,0.00193970291751126
"18","Sepantronium bromide_1941",-0.242834439308726,2.87853337591754e-06
"19","WIKI4_1940",-0.327977681424796,1.7168620140508e-10
"20","UMI-77_1939",-0.0239315142526461,0.648450292787728
"21","Savolitinib_1936",-0.0202587217408686,0.699545547367662
"22","P22077_1933",0.0172722180132914,0.742130760804786
"23","NVP-ADW742_1932",0.0911846069941736,0.0819091801753364
"24","MIRA-1_1931",0.034545916692784,0.510404331219235
"25","Telomerase Inhibitor IX_1930",-0.121090609368175,0.0207168122788367
"26","I-BRD9_1928",-0.133771034714219,0.010560278768257
"27","GSK2578215A_1927",0.000957744254398196,0.985446095644781
"28","GNE-317_1926",-0.165983668251802,0.00147995499546273
"29","GDC0810_1925",-0.210283720321897,5.34183546020473e-05
"30","Ipatasertib_1924",-0.0617807972400382,0.238913453840953
"31","Cediranib_1922",-0.113694188138383,0.0299241528460958
"32","Osimertinib_1919",-0.114028818699827,0.0294421784641516
"33","AZD8186_1918",-0.0926001238824055,0.0772602263102085
"34","AZD6738_1917",-0.261843478775884,4.29481956380916e-07
"35","AZD5363_1916",0.0138965458525306,0.791224223429111
"36","AZD3759_1915",0.0822813611270831,0.116558032050701
"37","AGI-5198_1913",-0.100608553808644,0.0548354045115599
"38","Afuresertib_1912",0.172009732912495,0.000983189112329824
