"","Drug","r","p.value"
"1","PHOSPHATIDYLCHOLINE (BRD:BRD-U51753822-000-01-1)",0.0476438899075324,0.363903477296228
"2","TYLOXAPOL (BRD:BRD-U48018661-000-01-9)",0.0894712294218245,0.0878362137678705
"3","SEVELAMER (BRD:BRD-U45393375-000-01-6)",0.0332745179814571,0.526098024107689
"4","TYLOXAPOL (BRD:BRD-U25960968-000-01-9)",-0.194071906086278,0.000196212243164916
"5","COLESEVALAM (BRD:BRD-U08520523-000-01-0)",-0.225429701670438,1.44552228983295e-05
"6","CEVIMELINE (BRD:BRD-M98279124-300-01-1)",-0.233054145495196,7.23535791809703e-06
"7","DICHLOROACETATE (BRD:BRD-M97302542-001-03-6)",-0.141438171081108,0.00683917457772395
"8","EFONIDIPINE-MONOETHANOLATE (BRD:BRD-M92675308-003-07-1)",0.0411674559440111,0.432779367261971
"9","TALC (BRD:BRD-M92352362-002-02-3)",-0.225490408984683,1.4377092512761e-05
"10","CROMAKALIM (BRD:BRD-M89827113-001-01-5)",-0.385958102082063,2.31016637137404e-14
"11","NEMONAPRIDE (BRD:BRD-M80207679-001-01-5)",-0.147307285124487,0.00483647086542595
"12","TBOA-(DL) (BRD:BRD-M77041484-001-01-8)",0.300296626795616,5.7531374086614e-09
"13","BISMUTH(III)-TRIFLUOROMETHANESULFONATE (BRD:BRD-M56276249-001-01-1)",0.0366948569059505,0.484444073532906
"14","SODIUM-GLUCONATE (BRD:BRD-M54096567-001-01-9)",0.151496336585041,0.003748798265616
"15","LITHIUM-CITRATE (BRD:BRD-M41245765-001-04-2)",-0.0994069931864677,0.0578070523975629
"16","REBOXETINE (BRD:BRD-M39350793-334-01-1)",0.0391209284764192,0.456015094966971
"17","G-15 (BRD:BRD-M30288325-001-01-4)",-0.235913065151781,5.54844938967812e-06
"18","CIS-ACPD (BRD:BRD-M29936662-001-02-0)",0.19717390177754,0.000154160653866266
