"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Tumor_AVG","Normal_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10"
"cg26915558",0.403375686178089,0.872692516038835,26.5885683945579,3.32905751125169e-75,6.86586485649303e-70,160.646139273221,0.952097178672318,0.548721492494228,-0.40337568617809,"11",68181218,"F","II","LRP5","Body","island","Body-island","chr11:68181086-68181289",NA,NA,"","",""
"cg21072795",-0.402355691405595,0.210201836832111,-21.9559232587621,1.60941391109108e-60,1.10642109910126e-55,127.156049787974,0.130997960571167,0.533353651976762,0.402355691405595,"12",54920931,"R","II","NCKAP1L","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg03497652",0.416435037569181,0.840255216483038,20.6296138684903,4.04818303236686e-56,1.39149882114476e-51,117.105549743683,0.922230617579334,0.505795580010152,-0.416435037569182,"16",4751569,"R","I","ANKS3","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg12134633",0.486784197082036,0.737541828511621,20.1957233345053,1.15722333334266e-54,3.40951884114652e-50,113.778755199523,0.833365489354541,0.346581292272505,-0.486784197082037,"15",32934004,"R","I","SCG5","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg21878746",-0.403361475898382,0.232217035886252,-18.8709138297088,3.58093994835165e-50,7.38534845418018e-46,103.516621827859,0.152815170551925,0.556176646450307,0.403361475898382,"19",54876728,"F","I","LAIR1","TSS200","opensea","TSS200-opensea","",NA,NA,"","rs28366059",""
"cg00738178",-0.404356057035674,0.146955893019012,-18.2668636252494,4.17673262235736e-48,6.6262417261638e-44,98.7922074947557,0.0673582439962411,0.471714301031915,0.404356057035674,"1",53480710,"F","II","SCP2","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs7529265",""
"cg14486338",0.509994956338705,0.595538563882554,18.2269142912531,5.72657614422127e-48,8.43608519480191e-44,98.4788966661201,0.695931271823244,0.185936315484539,-0.509994956338705,"8",99440279,"R","I","KCNS2","Body","island","Body-island","chr8:99438692-99440425",NA,NA,"","",""
"cg25792518",0.463327100657327,0.752924067237675,18.0888647308149,1.70545407894409e-47,2.34489134645646e-43,97.3954565076547,0.844130189414314,0.380803088756987,-0.463327100657327,"17",48545950,"R","I","ACSF2","Body","island","Body-island","chr17:48545570-48546900",NA,TRUE,"","",""
"cg23606421",-0.415073145579517,0.33897778204848,-17.9525536821773,5.01525145023563e-47,6.0530302940847e-43,96.324545928543,0.257270469926528,0.672343615506045,0.415073145579518,"9",140330621,"R","II","ENTPD8","Body","island","Body-island","chr9:140330620-140330910",NA,TRUE,"","",""
"cg07274716",0.434872143038598,0.57297125525412,17.7507150548306,2.48177340866326e-46,2.43734375566388e-42,94.7369039940661,0.658576007820773,0.223703864782175,-0.434872143038599,"5",134363973,"F","I","PITX1","3'UTR","island","3'UTR-island","chr5:134363092-134365146",NA,TRUE,"","",""
"cg11174855",0.452156106252679,0.565689082958033,17.4725511335517,2.25594000429254e-45,2.06784975313465e-41,92.5454298949805,0.654696190488088,0.202540084235409,-0.452156106252679,"10",134598352,"R","I","NKX6-2","3'UTR","island","3'UTR-island","chr10:134597357-134602649",NA,NA,"","",""
