"","Chromosome","chromStart","chromEnd","Gene","Gain","Loss"
"4","chr1",153357854,153361027,"S100A9",55,-1
"1","chr6",111660332,111873452,"FYN",1,-21
"3","chr14",55124110,55145413,"LGALS3",9,-11
"2","chr22",35380361,35394214,"HMOX1",8,-4
