"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Tumor_AVG","Normal_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10"
"cg08361180",0.480918900769965,0.778651916450737,27.0159882604297,1.08484074019254e-54,1.49158731118453e-49,114.148150999484,0.961326537673437,0.480407636903471,-0.480918900769965,"10",103432427,"F","II","FBXW4","Body","opensea","Body-opensea","",NA,NA,"","rs74681963",""
"cg01449469",0.445469045584983,0.73207600879299,25.9900136142025,7.18850458860617e-53,5.93024312242573e-48,109.992507509263,0.901285181146976,0.455816135561993,-0.445469045584983,"6",30644681,"R","I","KIAA1949","3'UTR","shelf","3'UTR-shelf","chr6:30640431-30640853",NA,NA,"","",""
"cg00738178",-0.446610032676837,0.198066127852661,-25.2068419068983,1.90709300732113e-51,1.12377090107546e-46,106.741427518045,0.0284235573009936,0.475033589977831,0.446610032676837,"1",53480710,"F","II","SCP2","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs7529265",""
"cg00033551",0.641000985480428,0.648083107728398,25.1181426851916,2.77642787091526e-51,1.43152968077874e-46,106.368823786938,0.891564102213212,0.250563116732783,-0.641000985480429,"16",4738568,"R","I","MGRN1","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg16730737",-0.441025978639899,0.246547089603728,-24.5009534034223,3.88303252322177e-50,1.60167713821104e-45,103.750987761179,0.0790255938412859,0.520051572481184,0.441025978639899,"6",31702632,"R","II","CLIC1","Body","opensea","Body-opensea","",TRUE,NA,"","",""
"cg21009747",0.445420791622452,0.796472797352288,24.3454716706423,7.59920272187915e-50,2.84956976174858e-45,103.084500703559,0.965663640681746,0.520242849059295,-0.445420791622452,"22",36681341,"R","I","MYH9","Body","opensea","Body-opensea","",NA,NA,"low-CpG:35011227-35011289","",""
"cg21067465",-0.446188625192773,0.246583132063007,-23.5234335411483,2.77140448516522e-48,8.16536923889595e-44,99.5131561881884,0.0771006310207906,0.523289256213563,0.446188625192773,"11",86304288,"R","II","ME3","Body","opensea","Body-opensea","",TRUE,TRUE,"","",""
"cg14040931",0.54230895430007,0.621618330126715,23.2203766147899,1.0647087698619e-47,2.43984521167448e-43,98.1760810684199,0.827611653853099,0.285302699553028,-0.54230895430007,"9",36249297,"R","I","GNE","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg14015726",0.483271714124279,0.721868912313708,23.0242023900514,2.55940379362703e-47,5.0271687438051e-43,97.3046256463779,0.905437237833783,0.422165523709504,-0.483271714124279,"22",40807049,"F","II","MKL1","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg19368031",0.430193928343425,0.752349396603266,22.8073374311573,6.78501807917672e-47,1.16612126763204e-42,96.3357884010228,0.915756392640691,0.485562464297266,-0.430193928343425,"10",76688843,"F","II","MYST4","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg17517613",0.448868846119698,0.765851112956864,22.567343030141,2.00904248036672e-46,3.18727635132363e-42,95.2568916877038,0.936351682413184,0.487482836293486,-0.448868846119698,"12",3371908,"F","II","TSPAN9","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg07573965",0.515851799494618,0.734991484882343,22.459813133291,3.27491230902317e-46,4.8244253719221e-42,94.7711864149766,0.93093519166712,0.415083392172503,-0.515851799494618,"22",35656596,"R","II","HMGXB4","5'UTR","shelf","5'UTR-shelf","chr22:35653361-35654028",NA,NA,"","",""
"cg10747785",0.411005233133505,0.624107296989432,22.3723434866805,4.87832835725192e-46,6.9386819280263e-42,94.375036926057,0.780225563838593,0.369220330705088,-0.411005233133505,"22",36681296,"R","II","MYH9","Body","opensea","Body-opensea","",NA,NA,"low-CpG:35011227-35011289","",""
"cg23986185",0.435064800015099,0.61440901412994,22.1851572389799,1.14816905896727e-45,1.57865973870626e-41,93.5240825962782,0.779666186228698,0.344601386213599,-0.435064800015099,"17",72436456,"R","II","GPRC5C","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg25598370",0.430713991796443,0.743752433719457,21.9060040930267,4.14797327810428e-45,5.51922634105074e-41,92.2469374707617,0.907356973239035,0.476642981442593,-0.430713991796442,"6",116427195,"F","II","NT5DC1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg12792509",0.430200797443951,0.764479368530186,21.8690903686967,4.91939207880883e-45,6.34111176268483e-41,92.0773255820071,0.927888973760834,0.497688176316883,-0.43020079744395,"17",27493600,"R","II","MYO18A","Body","island","Body-island","chr17:27493203-27493880",NA,NA,"","",""
"cg03956606",0.412114776966292,0.81583018719478,21.6046667713676,1.67752105501552e-44,1.97698732083959e-40,90.857349501634,0.9723699086781,0.560255131711808,-0.412114776966291,"1",11249057,"R","II","MTOR","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg16719582",0.401827888365106,0.700691868299563,21.5699549070178,1.97189337784113e-44,2.25935708995913e-40,90.6965461425659,0.853324166980882,0.451496278615776,-0.401827888365106,"12",133090971,"F","II","FBRSL1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg05033239",-0.539790710875689,0.418176589054897,-21.5285881913094,2.39136004562111e-44,2.6659204945347e-40,90.5047158712465,0.213139807404441,0.75293051828013,0.539790710875689,"5",90458832,"F","II","GPR98","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg22524061",0.620882603723874,0.581988373783256,21.4687135856434,3.16260803685511e-44,3.43293612013166e-40,90.226676746455,0.817827502329534,0.19694489860566,-0.620882603723874,"8",99959430,"F","I","OSR2","5'UTR","shore","5'UTR-shore","chr8:99960497-99961438",NA,TRUE,"","",""
"cg00454447",0.471236640207216,0.729355924196501,21.2835161211799,7.5295816423361e-44,7.76452341353109e-40,89.3638120972622,0.908352787531025,0.437116147323809,-0.471236640207216,"16",3728185,"R","II","TRAP1","Body","shelf","Body-shelf","chr16:3724344-3724849",NA,NA,"","",""
"cg05948372",-0.41114818406588,0.228669534056408,-21.2620958246327,8.32651206721726e-44,8.37689761950693e-40,89.2637317309861,0.0724969680158797,0.48364515208176,0.41114818406588,"18",19283268,"R","II","ABHD3","Body","shore","Body-shore","chr18:19284165-19285052",NA,NA,"","",""
"cg14486338",0.53190621486413,0.515409138470406,21.1883933687539,1.177573462266e-43,1.12959692857894e-39,88.9189337221162,0.717451034038952,0.185544819174822,-0.531906214864129,"8",99440279,"R","I","KCNS2","Body","island","Body-island","chr8:99438692-99440425",NA,NA,"","",""
"cg02983090",-0.473023378097545,0.269674368011595,-21.0630100264022,2.12685640585448e-43,1.90714751552883e-39,88.3307779991978,0.089998821292372,0.563022199389918,0.473023378097546,"16",27437892,"R","II","IL21R","TSS1500","opensea","TSS1500-opensea","",TRUE,TRUE,"","",""
"cg24067911",-0.624781832708307,0.470239819545606,-20.914448856063,4.29589613515016e-43,3.69161569525598e-39,87.6313149102941,0.232919588516869,0.857701421225176,0.624781832708307,"6",16729610,"F","II","ATXN1","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg11955845",0.401440350830571,0.629164687302138,20.9099134848094,4.38928217469738e-43,3.69488877694153e-39,87.6099171184651,0.781649781803673,0.380209430973101,-0.401440350830571,"22",36681311,"R","II","MYH9","Body","opensea","Body-opensea","",NA,NA,"low-CpG:35011227-35011289","",""
"cg09636715",0.417019308774942,0.706822675109951,20.8937176055541,4.73974459262471e-43,3.91010917862086e-39,87.5334839248314,0.86522535828803,0.448206049513088,-0.417019308774942,"7",27217057,"R","I","HOXA10","Body","shelf","Body-shelf","chr7:27219309-27219750",NA,NA,"","",""
"cg04223420",0.462213713853967,0.455181933778159,20.8862279001241,4.91119973290057e-43,3.9721109353462e-39,87.4981264823468,0.630751484001759,0.168537770147791,-0.462213713853967,"5",134363877,"R","I","PITX1","3'UTR","island","3'UTR-island","chr5:134363092-134365146",NA,TRUE,"","",""
"cg24921221",-0.445206107183648,0.294779633062723,-20.5244823555211,2.75554335478841e-42,2.02965942594014e-38,85.7818866866115,0.1256703365356,0.570876443719249,0.445206107183648,"8",12584192,"R","II","LONRF1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg22399133",0.637734346402952,0.482842202481773,20.3072347566092,7.82469061846848e-42,5.37922701832749e-38,84.7431625999381,0.725082380572816,0.0873480341698649,-0.637734346402952,"2",208989248,"R","I","CRYGD","1stExon","island","1stExon-island","chr2:208988834-208989269",NA,NA,"","",""
"cg26282205",0.471752533411037,0.78119293136928,20.2925241253139,8.39948020290823e-42,5.67971474356687e-38,84.6726085484534,0.960385754137813,0.488633220726777,-0.471752533411036,"10",75602367,"F","II","CAMK2G","Body","shelf","Body-shelf","chr10:75599260-75599488",NA,NA,"","",""
"cg02711479",0.45814872610982,0.758094715861295,20.2656592888357,9.56100570999078e-42,6.36085999397211e-38,84.5436899062271,0.932120200972777,0.473971474862957,-0.45814872610982,"1",36849024,"F","II","STK40","5'UTR","shelf","5'UTR-shelf","chr1:36851089-36851873",NA,NA,"","",""
"cg26581504",0.492856178534348,0.681189121992431,20.2265170386159,1.15486884591151e-41,7.56129295921312e-38,84.3556891774128,0.868398058024857,0.37554187949051,-0.492856178534348,"11",112046963,"F","II","BCO2","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
